,Unnamed:_0,Project_Name,Address,No._of_Units,Area_(sqm),Type_of_Area,Transacted_Price_($),Nett_Price($),Unit_Price_($_psm),Unit_Price_($_psf),Sale_Date,Property_Type,Tenure,Completion_Date,Type_of_Sale,Purchaser_Address_Indicator,Postal_District,Postal_Sector,Postal_Code,Planning_Region,Planning_Area,country,city,full_address,gcode,address,room_num,lat,long
0,1,LA CASA,68 Woodlands Drive 16  #10-38,1,119,Strata,998000.0,-,8387,779,29-SEP-2020,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,HDB,25,73,737892,North Region,Woodlands,Singapore,Singapore,"68 Woodlands Drive 16  ,Singapore","Woodlands Drive 16, Woodlands, Northwest, 730573, Singapore",68 Woodlands Drive 16  ,10-38,1.4316825,103.7975763
1,2,THE PANORAMA,16 Ang Mo Kio Avenue 2  #03-27,1,44,Strata,685000.0,-,15568,1446,29-SEP-2020,Condominium,99 Yrs From 08/04/2013,2017,Resale,Private,20,56,567699,North East Region,Ang Mo Kio,Singapore,Singapore,"16 Ang Mo Kio Avenue 2  ,Singapore","Ang Mo Kio Avenue 2, Ang Mo Kio, Singapore, Central, 569405, Singapore",16 Ang Mo Kio Avenue 2  ,03-27,1.3752097,103.8334072
2,3,WATERFRONT GOLD,750 Bedok Reservoir Road  #09-02,1,137,Strata,1738000.0,-,12686,1179,29-SEP-2020,Condominium,99 Yrs From 26/11/2009,2014,Resale,Private,16,47,479256,East Region,Bedok,Singapore,Singapore,"750 Bedok Reservoir Road  ,Singapore","750, Bedok Reservoir Road, Simpang Bedok, Bedok, Northeast, 479256, Singapore",750 Bedok Reservoir Road  ,09-02,1.33853525,103.92851930536659
3,4,THE RAINTREE,93 Bukit Drive  #05-28,1,147,Strata,1650000.0,-,11224,1043,29-SEP-2020,Condominium,99 Yrs From 01/03/2003,2008,Resale,Private,21,58,587844,West Region,Bukit Panjang,Singapore,Singapore,"93 Bukit Drive  ,Singapore","Bukit Drive, Bukit Panjang, Northwest, 587976, Singapore",93 Bukit Drive  ,05-28,1.3482864,103.7749203
4,5,WATERBANK AT DAKOTA,70 Dakota Crescent  #16-02,1,82,Strata,1520000.0,-,18537,1722,29-SEP-2020,Condominium,99 Yrs From 07/12/2009,2013,Resale,HDB,14,39,399941,Central Region,Geylang,Singapore,Singapore,"70 Dakota Crescent  ,Singapore","Waterbank, 70, Dakota Crescent, Marine Parade, Southeast, 399941, Singapore",70 Dakota Crescent  ,16-02,1.30664605,103.88810993889598
5,6,SUITES @ EASTCOAST,171 Upper East Coast Road  #02-02,1,84,Strata,1090000.0,-,12976,1206,29-SEP-2020,Condominium,Freehold,2012,Resale,Private,15,45,455273,East Region,Bedok,Singapore,Singapore,"171 Upper East Coast Road  ,Singapore","Upper East Coast Road, Simpang Bedok, Bedok, Southeast, 466608, Singapore",171 Upper East Coast Road  ,02-02,1.3193295,103.9550995
6,7,CARIBBEAN AT KEPPEL BAY,18 Keppel Bay Drive  #04-24,1,82,Strata,1450000.0,-,17683,1643,29-SEP-2020,Condominium,99 Yrs From 16/08/1999,2004,Resale,Private,4,9,98644,Central Region,Bukit Merah,Singapore,Singapore,"18 Keppel Bay Drive  ,Singapore","18, Keppel Bay Drive, Radin Mas, Bukit Merah, Singapore, Central, 098632, Singapore",18 Keppel Bay Drive  ,04-24,1.26589215,103.81598093589116
7,8,TRELLIS TOWERS,700 Lorong 1 Toa Payoh  #23-09,1,138,Strata,2240000.0,-,16232,1508,29-SEP-2020,Condominium,Freehold,2000,Resale,Private,12,31,319773,Central Region,Toa Payoh,Singapore,Singapore,"700 Lorong 1 Toa Payoh  ,Singapore","Lorong 1 Toa Payoh, Toa Payoh, Singapore, Central, 310128, Singapore",700 Lorong 1 Toa Payoh  ,23-09,1.3396879,103.8442682
8,9,RIVERPARC RESIDENCE,100 Punggol Drive  #11-23,1,100,Strata,1018000.0,-,10180,946,29-SEP-2020,Executive Condominium,99 Yrs From 27/12/2010,2014,Resale,HDB,19,82,828799,North East Region,Punggol,Singapore,Singapore,"100 Punggol Drive  ,Singapore","River Parc, 100, Punggol Drive, Punggol, Northeast, 820100, Singapore",100 Punggol Drive  ,11-23,1.3978394,103.91736854617665
9,10,DOUBLE BAY RESIDENCES,19B Simei Street 4  #06-25,1,127,Strata,1530000.0,-,12047,1119,29-SEP-2020,Condominium,99 Yrs From 07/04/2008,2012,Resale,Private,18,52,528714,East Region,Tampines,Singapore,Singapore,"19B Simei Street 4  ,Singapore","Simei Street 4, Tampines, Southeast, 520225, Singapore",19B Simei Street 4  ,06-25,1.3421941,103.9581393
10,11,THE SANTORINI,21 Tampines Street 86  #13-11,1,43,Strata,598000.0,-,13907,1292,29-SEP-2020,Condominium,99 Yrs From 16/10/2013,2017,Resale,Private,18,52,528592,East Region,Tampines,Singapore,Singapore,"21 Tampines Street 86  ,Singapore","Tampines Street 86, Tampines, Northeast, 521870, Singapore",21 Tampines Street 86  ,13-11,1.3559648,103.9312944
11,12,GRAND CHATEAU,2 Jalan Rajawali  #08-06,1,100,Strata,1230000.0,-,12300,1143,29-SEP-2020,Condominium,Freehold,1996,Resale,Private,21,59,598435,Central Region,Bukit Timah,Singapore,Singapore,"2 Jalan Rajawali  ,Singapore","Grand Chateau, 2, Jalan Rajawali, Southwest, 598435, Singapore",2 Jalan Rajawali  ,08-06,1.34400985,103.76861910553326
12,13,PAVILION 11,25 Akyab Road  #15-07,1,138,Strata,2350000.0,-,17029,1582,28-SEP-2020,Condominium,Freehold,2009,Resale,Private,11,30,309979,Central Region,Novena,Singapore,Singapore,"25 Akyab Road  ,Singapore","Akyab Road, The Ansley, Novena, Singapore, Central, 309838, Singapore",25 Akyab Road  ,15-07,1.323252,103.8483432
13,14,EASTERN LAGOON,214 Upper East Coast Road  #04-02,1,70,Strata,850000.0,-,12143,1128,28-SEP-2020,Condominium,Freehold,1985,Resale,HDB,16,46,466402,East Region,Bedok,Singapore,Singapore,"214 Upper East Coast Road  ,Singapore","Upper East Coast Road, Simpang Bedok, Bedok, Southeast, 466608, Singapore",214 Upper East Coast Road  ,04-02,1.3193295,103.9550995
14,15,THE PANORAMA,16 Ang Mo Kio Avenue 2  #07-25,1,93,Strata,1538000.0,-,16538,1536,28-SEP-2020,Condominium,99 Yrs From 08/04/2013,2017,Resale,Private,20,56,567699,North East Region,Ang Mo Kio,Singapore,Singapore,"16 Ang Mo Kio Avenue 2  ,Singapore","Ang Mo Kio Avenue 2, Ang Mo Kio, Singapore, Central, 569405, Singapore",16 Ang Mo Kio Avenue 2  ,07-25,1.3752097,103.8334072
15,16,ARCHIPELAGO,511 Bedok Reservoir Road  #04-44,1,110,Strata,1440000.0,-,13091,1216,28-SEP-2020,Condominium,99 Yrs From 01/06/2011,2015,Resale,HDB,16,47,479272,East Region,Bedok,Singapore,Singapore,"511 Bedok Reservoir Road  ,Singapore","511, Bedok Reservoir Road, Bedok, Northeast, 479272, Singapore",511 Bedok Reservoir Road  ,04-44,1.33848155,103.9192983285331
16,17,WATERFRONT ISLE,732 Bedok Reservoir Road  #05-09,1,85,Strata,1030000.0,-,12118,1126,28-SEP-2020,Condominium,99 Yrs From 26/11/2009,2015,Resale,HDB,16,47,479262,East Region,Bedok,Singapore,Singapore,"732 Bedok Reservoir Road  ,Singapore","732, Bedok Reservoir Road, Bedok, Northeast, 479262, Singapore",732 Bedok Reservoir Road  ,05-09,1.33871925,103.92806760326054
17,18,CLOVER BY THE PARK,2 Bishan Street 25  #16-07,1,120,Strata,1720000.0,-,14333,1332,28-SEP-2020,Condominium,99 Yrs From 10/09/2007,2011,Resale,HDB,20,57,573973,Central Region,Bishan,Singapore,Singapore,"2 Bishan Street 25  ,Singapore","Bishan Street 25, Bishan, Singapore, Central, 570233, Singapore",2 Bishan Street 25  ,16-07,1.3593375,103.8449088
18,19,REGENT HEIGHTS,52 Bukit Batok East Avenue 5  #21-06,1,108,Strata,865000.0,-,8009,744,28-SEP-2020,Condominium,99 Yrs From 07/11/1995,1999,Resale,Private,23,65,659802,West Region,Bukit Batok,Singapore,Singapore,"52 Bukit Batok East Avenue 5  ,Singapore","52, Bukit Batok East Avenue 5, Bukit Gombak, Bukit Batok, Southwest, 659802, Singapore",52 Bukit Batok East Avenue 5  ,21-06,1.3523664499999999,103.75604449847339
19,20,1 CANBERRA,11 Canberra Drive  #01-21,1,143,Strata,1100000.0,-,7692,715,28-SEP-2020,Executive Condominium,99 Yrs From 30/01/2012,2015,Resale,HDB,27,76,768071,North Region,Yishun,Singapore,Singapore,"11 Canberra Drive  ,Singapore","Canberra Drive, Sembawang, Northwest, 768080, Singapore",11 Canberra Drive  ,01-21,1.4447442,103.8270731
20,21,1 CANBERRA,13 Canberra Drive  #10-28,1,97,Strata,980000.0,-,10103,939,28-SEP-2020,Executive Condominium,99 Yrs From 30/01/2012,2015,Resale,HDB,27,76,768072,North Region,Yishun,Singapore,Singapore,"13 Canberra Drive  ,Singapore","Canberra Drive, Sembawang, Northwest, 768080, Singapore",13 Canberra Drive  ,10-28,1.4447442,103.8270731
21,22,1 CANBERRA,5 Canberra Drive  #12-09,1,98,Strata,960000.0,-,9796,910,28-SEP-2020,Executive Condominium,99 Yrs From 30/01/2012,2015,Resale,HDB,27,76,768103,North Region,Yishun,Singapore,Singapore,"5 Canberra Drive  ,Singapore","Canberra Drive, Sembawang, Northwest, 760175, Singapore",5 Canberra Drive  ,12-09,1.4388242,103.8299953
22,23,CANBERRA RESIDENCES,501 Canberra Drive  #04-05,1,84,Strata,821000.0,-,9774,908,28-SEP-2020,Condominium,99 Yrs From 08/09/2010,2013,Resale,HDB,27,76,768124,North Region,Sembawang,Singapore,Singapore,"501 Canberra Drive  ,Singapore","501, Canberra Drive, Sembawang, Northwest, 768124, Singapore",501 Canberra Drive  ,04-05,1.44457265,103.825327313114
23,24,REGENT GROVE,52 Choa Chu Kang North 7  #08-29,1,109,Strata,780000.0,-,7156,665,28-SEP-2020,Condominium,99 Yrs From 17/05/1997,2000,Resale,HDB,23,68,689528,West Region,Choa Chu Kang,Singapore,Singapore,"52 Choa Chu Kang North 7  ,Singapore","Choa Chu Kang North 7, Choa Chu Kang, Northwest, 689143, Singapore",52 Choa Chu Kang North 7  ,08-29,1.401436,103.7436275
24,25,6 DERBYSHIRE,6 Derbyshire Road  #14-04,1,48,Strata,936000.0,-,19500,1812,28-SEP-2020,Condominium,Freehold,2017,Resale,Private,11,30,309462,Central Region,Novena,Singapore,Singapore,"6 Derbyshire Road  ,Singapore","Derbyshire Road, Novena, Singapore, Central, 307584, Singapore",6 Derbyshire Road  ,14-04,1.3154757,103.8451676
25,26,EDELWEISS PARK CONDOMINIUM,86 Flora Road  #03-20,1,119,Strata,1025000.0,-,8613,800,28-SEP-2020,Condominium,Freehold,2006,Resale,Private,17,50,507002,East Region,Pasir Ris,Singapore,Singapore,"86 Flora Road  ,Singapore","Flora Road, Changi, Southeast, 510149, Singapore",86 Flora Road  ,03-20,1.3609514,103.9636132
26,27,KINGSFORD . HILLVIEW PEAK,101 Hillview Rise  #13-03,1,77,Strata,1120000.0,-,14545,1351,28-SEP-2020,Condominium,99 Yrs From 04/06/2012,2017,Resale,Private,23,66,667981,West Region,Bukit Batok,Singapore,Singapore,"101 Hillview Rise  ,Singapore","Hillview Rise, Bukit Gombak, Bukit Batok, Southwest, 667970, Singapore",101 Hillview Rise  ,13-03,1.3624154,103.7644356
27,28,THE FLORIDA,76 Hougang Avenue 7  #10-23,1,129,Strata,1000000.0,-,7752,720,28-SEP-2020,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,19,53,538807,North East Region,Hougang,Singapore,Singapore,"76 Hougang Avenue 7  ,Singapore","Hougang Avenue 7, Hougang, Northeast, 534037, Singapore",76 Hougang Avenue 7  ,10-23,1.365531,103.8978912
28,29,SUMMERHILL,50 Hume Avenue  #02-09,1,149,Strata,2050000.0,-,13758,1278,28-SEP-2020,Condominium,Freehold,2002,Resale,HDB,21,59,596229,West Region,Bukit Batok,Singapore,Singapore,"50 Hume Avenue  ,Singapore","Hume Avenue, Bukit Gombak, Bukit Batok, Southwest, 598749, Singapore",50 Hume Avenue  ,02-09,1.3584251,103.7646
29,30,EUPHONY GARDENS,5 Jalan Mata Ayer  #04-25,1,88,Strata,696000.0,-,7909,735,28-SEP-2020,Condominium,99 Yrs From 25/02/1998,2001,Resale,HDB,27,75,759151,North Region,Mandai,Singapore,Singapore,"5 Jalan Mata Ayer  ,Singapore","5, Jalan Mata Ayer, Mandai, Northwest, 758382, Singapore",5 Jalan Mata Ayer  ,04-25,1.42464195,103.82490914184581
30,31,SAGE,11A Nassim Road  #01-03,1,325,Strata,10000000.0,-,30769,2859,28-SEP-2020,Condominium,Freehold,2012,Resale,Private,10,25,258379,Central Region,Tanglin,Singapore,Singapore,"11A Nassim Road  ,Singapore","11A, Nassim Road, Tanglin, Singapore, Central, 259569, Singapore",11A Nassim Road  ,01-03,1.3073066,103.82436650260686
31,32,PARC CENTROS,86 Punggol Central  #12-14,1,106,Strata,1320000.0,-,12453,1157,28-SEP-2020,Condominium,99 Yrs From 19/03/2012,2016,Resale,HDB,19,82,828720,North East Region,Punggol,Singapore,Singapore,"86 Punggol Central  ,Singapore","Punggol Central, Punggol, Northeast, 828868, Singapore",86 Punggol Central  ,12-14,1.4047226,103.9031553
32,33,TWIN WATERFALLS,112 Punggol Walk  #09-25,1,85,Strata,938000.0,-,11035,1025,28-SEP-2020,Executive Condominium,99 Yrs From 05/10/2011,2015,Resale,HDB,19,82,828766,North East Region,Punggol,Singapore,Singapore,"112 Punggol Walk  ,Singapore","Twin Waterfalls, 112, Punggol Walk, Punggol, Northeast, 820112, Singapore",112 Punggol Walk  ,09-25,1.4022109,103.89753261310491
33,34,COSTA RHU,5 Rhu Cross  #02-10,1,194,Strata,3080000.0,-,15876,1475,28-SEP-2020,Condominium,99 Yrs From 30/05/1994,1997,Resale,Private,15,43,437434,Central Region,Kallang,Singapore,Singapore,"5 Rhu Cross  ,Singapore","Rhu Cross, Kallang, Southeast, 437435, Singapore",5 Rhu Cross  ,02-10,1.2972924,103.8673036
34,35,SOLEIL @ SINARAN,2 Sinaran Drive  #30-01,1,89,Strata,1800000.0,-,20225,1879,28-SEP-2020,Condominium,99 Yrs From 23/10/2006,2011,Resale,Private,11,30,307467,Central Region,Novena,Singapore,Singapore,"2 Sinaran Drive  ,Singapore","Sinaran Drive, Novena, Singapore, Central, 308142, Singapore",2 Sinaran Drive  ,30-01,1.3199096,103.8457136
35,36,8 SAINT THOMAS,10 St. Thomas Walk  #30-09,1,121,Strata,3750000.0,-,30992,2879,28-SEP-2020,Condominium,Freehold,2018,Resale,Private,9,23,238102,Central Region,River Valley,Singapore,Singapore,"10 St. Thomas Walk  ,Singapore","Saint Thomas Walk, Morison Hill, River Valley, Singapore, Central, 239848, Singapore",10 St. Thomas Walk  ,30-09,1.2977345,103.8361649
36,37,8 SAINT THOMAS,8 St. Thomas Walk  #02-01,1,97,Strata,2620000.0,-,27010,2509,28-SEP-2020,Condominium,Freehold,2018,Resale,Private,9,23,238146,Central Region,River Valley,Singapore,Singapore,"8 St. Thomas Walk  ,Singapore","Saint Thomas Walk, Morison Hill, River Valley, Singapore, Central, 239848, Singapore",8 St. Thomas Walk  ,02-01,1.2977345,103.8361649
37,38,CAMELOT BY-THE-WATER,112 Tanjong Rhu Road  #06-02,1,282,Strata,5088000.0,-,18043,1676,28-SEP-2020,Condominium,99 Yrs From 07/06/1996,2000,Resale,Private,15,43,436929,Central Region,Kallang,Singapore,Singapore,"112 Tanjong Rhu Road  ,Singapore","Tanjong Rhu Road, Kallang, Southeast, 397628, Singapore",112 Tanjong Rhu Road  ,06-02,1.2971101,103.873131
38,39,TERRASSE,31 Terrasse Lane  #04-60,1,107,Strata,1300000.0,-,12150,1129,28-SEP-2020,Condominium,99 Yrs From 23/08/2010,2014,Resale,HDB,19,54,544779,North East Region,Hougang,Singapore,Singapore,"31 Terrasse Lane  ,Singapore","Terrasse, Hougang, Northeast, Singapore",31 Terrasse Lane  ,04-60,1.36866815,103.87791841442456
39,40,ONE AMBER,7 Amber Gardens  #21-18,1,158,Strata,2950000.0,-,18671,1735,28-SEP-2020,Condominium,Freehold,2010,Resale,Private,15,43,439974,Central Region,Marine Parade,Singapore,Singapore,"7 Amber Gardens  ,Singapore","7, Amber Gardens, Kampong Amber, Marine Parade, Southeast, 439974, Singapore",7 Amber Gardens  ,21-18,1.3019832999999998,103.8989628877472
40,41,JADESCAPE,2 Shunfu Road  #05-05,1,49,Strata,904000.0,-,18449,1714,27-SEP-2020,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan,Singapore,Singapore,"2 Shunfu Road  ,Singapore","Shunfu Road, Bishan, Singapore, Central, 574424, Singapore",2 Shunfu Road  ,05-05,1.3523515,103.8371621
41,42,PIERMONT GRAND,40 Sumang Walk  #13-37,1,78,Strata,1005400.0,-,12890,1197,27-SEP-2020,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828625,North East Region,Punggol,Singapore,Singapore,"40 Sumang Walk  ,Singapore","Sumang Walk, Punggol, Northeast, 821327, Singapore",40 Sumang Walk  ,13-37,1.4124637,103.8986312
42,43,JADESCAPE,4 Shunfu Road  #22-15,1,49,Strata,957000.0,-,19531,1814,27-SEP-2020,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan,Singapore,Singapore,"4 Shunfu Road  ,Singapore","Shunfu Road, Bishan, Singapore, Central, 574339, Singapore",4 Shunfu Road  ,22-15,1.351898,103.8375169
43,44,TREASURE AT TAMPINES,9 Tampines Lane  #10-34,1,85,Strata,1282000.0,-,15082,1401,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528481,East Region,Tampines,Singapore,Singapore,"9 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",9 Tampines Lane  ,10-34,1.3546528,103.9435712
44,45,JADESCAPE,10 Shunfu Road  #05-39,1,153,Strata,2798000.0,-,18288,1699,27-SEP-2020,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575746,Central Region,Bishan,Singapore,Singapore,"10 Shunfu Road  ,Singapore","Shunfu Road, Bishan, Singapore, Central, 573993, Singapore",10 Shunfu Road  ,05-39,1.3513304,103.8400318
45,46,JADESCAPE,12 Shunfu Road  #02-44,1,49,Strata,914300.0,-,18659,1733,27-SEP-2020,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575747,Central Region,Bishan,Singapore,Singapore,"12 Shunfu Road  ,Singapore","Shunfu Road, Bishan, Singapore, Central, 573993, Singapore",12 Shunfu Road  ,02-44,1.3513304,103.8400318
46,47,JADESCAPE,2 Shunfu Road  #19-01,1,71,Strata,1390000.0,-,19577,1819,27-SEP-2020,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan,Singapore,Singapore,"2 Shunfu Road  ,Singapore","Shunfu Road, Bishan, Singapore, Central, 574424, Singapore",2 Shunfu Road  ,19-01,1.3523515,103.8371621
47,48,TREASURE AT TAMPINES,29 Tampines Lane  #05-100,1,159,Strata,2034000.0,-,12792,1188,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528471,East Region,Tampines,Singapore,Singapore,"29 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",29 Tampines Lane  ,05-100,1.3546528,103.9435712
48,49,TREASURE AT TAMPINES,31 Tampines Lane  #12-102,1,118,Strata,1712000.0,-,14508,1348,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528470,East Region,Tampines,Singapore,Singapore,"31 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",31 Tampines Lane  ,12-102,1.3546528,103.9435712
49,50,TREASURE AT TAMPINES,35 Tampines Lane  #03-114,1,63,Strata,962000.0,-,15270,1419,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528468,East Region,Tampines,Singapore,Singapore,"35 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",35 Tampines Lane  ,03-114,1.3546528,103.9435712
50,51,TREASURE AT TAMPINES,37 Tampines Lane  #02-121,1,63,Strata,921000.0,-,14619,1358,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528467,East Region,Tampines,Singapore,Singapore,"37 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",37 Tampines Lane  ,02-121,1.3546528,103.9435712
51,52,TREASURE AT TAMPINES,37 Tampines Lane  #05-123,1,115,Strata,1597000.0,-,13887,1290,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528467,East Region,Tampines,Singapore,Singapore,"37 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",37 Tampines Lane  ,05-123,1.3546528,103.9435712
52,53,TREASURE AT TAMPINES,39 Tampines Lane  #04-124,1,63,Strata,956000.0,-,15175,1410,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528466,East Region,Tampines,Singapore,Singapore,"39 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",39 Tampines Lane  ,04-124,1.3546528,103.9435712
53,54,TREASURE AT TAMPINES,39 Tampines Lane  #11-131,1,96,Strata,1408000.0,-,14667,1363,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528466,East Region,Tampines,Singapore,Singapore,"39 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",39 Tampines Lane  ,11-131,1.3546528,103.9435712
54,55,TREASURE AT TAMPINES,49 Tampines Lane  #08-164,1,63,Strata,980000.0,-,15556,1445,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528461,East Region,Tampines,Singapore,Singapore,"49 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",49 Tampines Lane  ,08-164,1.3546528,103.9435712
55,56,PARC CANBERRA,11 Canberra Walk  #07-22,1,88,Strata,1062000.0,-,12068,1121,27-SEP-2020,Executive Condominium,99 Yrs From 10/12/2018,Uncompleted,New Sale,N.A,27,75,756946,North Region,Sembawang,Singapore,Singapore,"11 Canberra Walk  ,Singapore","Canberra Walk, Sembawang, Northwest, 751108, Singapore",11 Canberra Walk  ,07-22,1.4476719,103.83007
56,57,TREASURE AT TAMPINES,25 Tampines Lane  #08-86,1,63,Strata,980000.0,-,15556,1445,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528473,East Region,Tampines,Singapore,Singapore,"25 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",25 Tampines Lane  ,08-86,1.3546528,103.9435712
57,58,TREASURE AT TAMPINES,25 Tampines Lane  #04-86,1,63,Strata,956000.0,-,15175,1410,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528473,East Region,Tampines,Singapore,Singapore,"25 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",25 Tampines Lane  ,04-86,1.3546528,103.9435712
58,59,TREASURE AT TAMPINES,25 Tampines Lane  #12-87,1,61,Strata,970000.0,-,15902,1477,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528473,East Region,Tampines,Singapore,Singapore,"25 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",25 Tampines Lane  ,12-87,1.3546528,103.9435712
59,60,TREASURE AT TAMPINES,27 Tampines Lane  #11-93,1,96,Strata,1449000.0,-,15094,1402,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528472,East Region,Tampines,Singapore,Singapore,"27 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",27 Tampines Lane  ,11-93,1.3546528,103.9435712
60,61,TREASURE AT TAMPINES,49 Tampines Lane  #04-170,1,96,Strata,1329000.0,-,13844,1286,27-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528461,East Region,Tampines,Singapore,Singapore,"49 Tampines Lane  ,Singapore","Tampines, Northeast, Singapore",49 Tampines Lane  ,04-170,1.3546528,103.9435712
61,62,PARK COLONIAL,12 Woodleigh Lane  #12-49,1,56,Strata,1283000.0,-,22911,2128,27-SEP-2020,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357658,Central Region,Toa Payoh,Singapore,Singapore,"12 Woodleigh Lane  ,Singapore","Park Colonial, 12, Woodleigh Lane, Toa Payoh, Southeast, 357658, Singapore",12 Woodleigh Lane  ,12-49,1.3381464,103.86965528136436
62,63,PARK COLONIAL,2 Woodleigh Lane  #05-07,1,94,Strata,1888000.0,-,20085,1866,27-SEP-2020,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357685,Central Region,Toa Payoh,Singapore,Singapore,"2 Woodleigh Lane  ,Singapore","Park Colonial, 2, Woodleigh Lane, Toa Payoh, Southeast, 357685, Singapore",2 Woodleigh Lane  ,05-07,1.3384008,103.86886394423959
63,64,PARK COLONIAL,2 Woodleigh Lane  #13-07,1,94,Strata,1935000.0,-,20585,1912,27-SEP-2020,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357685,Central Region,Toa Payoh,Singapore,Singapore,"2 Woodleigh Lane  ,Singapore","Park Colonial, 2, Woodleigh Lane, Toa Payoh, Southeast, 357685, Singapore",2 Woodleigh Lane  ,13-07,1.3384008,103.86886394423959
64,65,DAINTREE RESIDENCE,11A Toh Tuck Road  #05-03,1,63,Strata,1247720.0,-,19805,1840,27-SEP-2020,Condominium,99 Yrs From 17/07/2017,Uncompleted,New Sale,N.A,21,59,596157,Central Region,Bukit Timah,Singapore,Singapore,"11A Toh Tuck Road  ,Singapore","Toh Tuck Road, Southwest, 598681, Singapore",11A Toh Tuck Road  ,05-03,1.3403435,103.7702985
65,66,DAINTREE RESIDENCE,11E Toh Tuck Road  #05-23,1,98,Strata,1807990.0,-,18449,1714,27-SEP-2020,Condominium,99 Yrs From 17/07/2017,Uncompleted,New Sale,N.A,21,59,596127,Central Region,Bukit Timah,Singapore,Singapore,"11E Toh Tuck Road  ,Singapore","Toh Tuck Road, Southwest, 598681, Singapore",11E Toh Tuck Road  ,05-23,1.3403435,103.7702985
66,67,DAINTREE RESIDENCE,11M Toh Tuck Road  #03-65,1,51,Strata,938090.0,-,18394,1709,27-SEP-2020,Condominium,99 Yrs From 17/07/2017,Uncompleted,New Sale,N.A,21,59,596134,Central Region,Bukit Timah,Singapore,Singapore,"11M Toh Tuck Road  ,Singapore","Toh Tuck Road, Southwest, 598681, Singapore",11M Toh Tuck Road  ,03-65,1.3403435,103.7702985
67,68,JADESCAPE,2 Shunfu Road  #19-09,1,71,Strata,1390400.0,-,19583,1819,27-SEP-2020,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan,Singapore,Singapore,"2 Shunfu Road  ,Singapore","Shunfu Road, Bishan, Singapore, Central, 574424, Singapore",2 Shunfu Road  ,19-09,1.3523515,103.8371621
68,69,TREASURE AT TAMPINES,5 Tampines Lane  #04-19,1,85,Strata,1189000.0,-,13988,1300,26-SEP-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528485,East Region,Tampines,Singapore,Singapore,"5 Tampines Lane  ,Singapore","Tampines, Tampines Central 1, Tampines, Northeast, 520508, Singapore",5 Tampines Lane  ,04-19,1.3540838000000002,103.94451148804373
