Age,Population,Year,District
　５～９,"9,291",2000,金沢区
　10～14,"10,400",2000,金沢区
　15～19,"13,472",2000,金沢区
　20～24,"15,496",2000,金沢区
　25～29,"16,130",2000,金沢区
　30～34,"14,580",2000,金沢区
　35～39,"13,784",2000,金沢区
　40～44,"12,735",2000,金沢区
　45～49,"15,128",2000,金沢区
　50～54,"18,185",2000,金沢区
　55～59,"15,039",2000,金沢区
　60～64,"12,309",2000,金沢区
　65～69,"10,481",2000,金沢区
　70～74,"8,015",2000,金沢区
　75～79,"5,440",2000,金沢区
　80～84,"3,498",2000,金沢区
　85～89,"1,969",2000,金沢区
　90～94,634,2000,金沢区
　95～99,131,2000,金沢区
　100歳以上,8,2000,金沢区
　０～４歳,"8,628",2005 ,金沢区
　５～９,"9,236",2005 ,金沢区
　10～14,"9,454",2005 ,金沢区
　15～19,"11,301",2005 ,金沢区
　20～24,"14,380",2005 ,金沢区
　25～29,"13,382",2005 ,金沢区
　30～34,"16,074",2005 ,金沢区
　35～39,"14,995",2005 ,金沢区
　40～44,"14,005",2005 ,金沢区
　45～49,"12,735",2005 ,金沢区
　50～54,"14,776",2005 ,金沢区
　55～59,"17,774",2005 ,金沢区
　60～64,"14,736",2005 ,金沢区
　65～69,"11,978",2005 ,金沢区
　70～74,"10,093",2005 ,金沢区
　75～79,"7,418",2005 ,金沢区
　80～84,"4,535",2005 ,金沢区
　85～89,"2,546",2005 ,金沢区
　90～94,"1,131",2005 ,金沢区
　95～99,297,2005 ,金沢区
　100歳以上,25,2005 ,金沢区
　０～４歳,"8,378 ",2010,金沢区
　５～９,"8,785 ",2010,金沢区
　10～14,"9,449 ",2010,金沢区
　15～19,"10,328 ",2010,金沢区
　20～24,"11,878 ",2010,金沢区
　25～29,"11,623 ",2010,金沢区
　30～34,"12,902 ",2010,金沢区
　35～39,"15,982 ",2010,金沢区
　40～44,"15,321 ",2010,金沢区
　45～49,"13,897 ",2010,金沢区
　50～54,"12,415 ",2010,金沢区
　55～59,"14,445 ",2010,金沢区
　60～64,"17,201 ",2010,金沢区
　65～69,"14,134 ",2010,金沢区
　70～74,"11,286 ",2010,金沢区
　75～79,"9,029 ",2010,金沢区
　80～84,"6,047 ",2010,金沢区
　85～89,"3,159 ",2010,金沢区
　90～94,"1,442 ",2010,金沢区
　95～99,391 ,2010,金沢区
　100歳以上,62 ,2010,金沢区
　０～４歳,"7,083 ",2015,金沢区
　５～９,"8,234 ",2015,金沢区
　10～14,"8,712 ",2015,金沢区
　15～19,"10,109 ",2015,金沢区
　20～24,"10,765 ",2015,金沢区
　25～29,"9,484 ",2015,金沢区
　30～34,"10,594 ",2015,金沢区
　35～39,"12,477 ",2015,金沢区
　40～44,"15,775 ",2015,金沢区
　45～49,"14,851 ",2015,金沢区
　50～54,"13,458 ",2015,金沢区
　55～59,"11,954 ",2015,金沢区
　60～64,"13,796 ",2015,金沢区
　65～69,"16,390 ",2015,金沢区
　70～74,"13,283 ",2015,金沢区
　75～79,"10,200 ",2015,金沢区
　80～84,"7,483 ",2015,金沢区
　85～89,"4,293 ",2015,金沢区
　90～94,"1,762 ",2015,金沢区
　95～99,470 ,2015,金沢区
　100歳以上,72 ,2015,金沢区
　０～４歳," 10,814 ",1955 ,港北区
　５～９," 13,524 ",1955 ,港北区
　10～14," 11,778 ",1955 ,港北区
　15～19," 10,656 ",1955 ,港北区
　20～24," 10,994 ",1955 ,港北区
　25～29," 10,009 ",1955 ,港北区
　30～34," 8,195 ",1955 ,港北区
　35～39," 6,828 ",1955 ,港北区
　40～44," 6,530 ",1955 ,港北区
　45～49," 5,208 ",1955 ,港北区
　50～54," 4,682 ",1955 ,港北区
　55～59," 3,730 ",1955 ,港北区
　60～64," 2,836 ",1955 ,港北区
　65～69," 2,239 ",1955 ,港北区
　70～74," 1,511 ",1955 ,港北区
　75～79," 1,007 ",1955 ,港北区
　80～84, 405 ,1955 ,港北区
　85～89, 129 ,1955 ,港北区
　90～94, 17 ,1955 ,港北区
　95～99, 2 ,1955 ,港北区
　100歳以上, 1 ,1955 ,港北区
　０～４歳," 12,529 ",1960 ,港北区
　５～９," 12,900 ",1960 ,港北区
　10～14," 15,811 ",1960 ,港北区
　15～19," 15,574 ",1960 ,港北区
　20～24," 15,246 ",1960 ,港北区
　25～29," 14,268 ",1960 ,港北区
　30～34," 13,559 ",1960 ,港北区
　35～39," 10,406 ",1960 ,港北区
　40～44," 8,117 ",1960 ,港北区
　45～49," 7,577 ",1960 ,港北区
　50～54," 5,923 ",1960 ,港北区
　55～59," 5,150 ",1960 ,港北区
　60～64," 3,890 ",1960 ,港北区
　65～69," 2,754 ",1960 ,港北区
　70～74," 2,033 ",1960 ,港北区
　75～79," 1,126 ",1960 ,港北区
　80～84, 615 ,1960 ,港北区
　85～89, 166 ,1960 ,港北区
　90～94, 44 ,1960 ,港北区
　95～99, - ,1960 ,港北区
　100歳以上, - ,1960 ,港北区
　０～４歳," 23,181 ",1965 ,港北区
　５～９," 16,991 ",1965 ,港北区
　10～14," 16,045 ",1965 ,港北区
　15～19," 25,362 ",1965 ,港北区
　20～24," 28,281 ",1965 ,港北区
　25～29," 27,292 ",1965 ,港北区
　30～34," 23,637 ",1965 ,港北区
　35～39," 18,854 ",1965 ,港北区
　40～44," 13,352 ",1965 ,港北区
　45～49," 10,363 ",1965 ,港北区
　50～54," 9,427 ",1965 ,港北区
　55～59," 7,154 ",1965 ,港北区
　60～64," 5,703 ",1965 ,港北区
　65～69," 4,015 ",1965 ,港北区
　70～74," 2,664 ",1965 ,港北区
　75～79," 1,639 ",1965 ,港北区
　80～84, 731 ,1965 ,港北区
　85～89, 290 ,1965 ,港北区
　90～94, 58 ,1965 ,港北区
　95～99, 7 ,1965 ,港北区
　100歳以上, - ,1965 ,港北区
　０～４歳," 23,266 ",1970 ,港北区
　５～９," 16,408 ",1970 ,港北区
　10～14," 11,641 ",1970 ,港北区
　15～19," 16,886 ",1970 ,港北区
　20～24," 30,030 ",1970 ,港北区
　25～29," 28,668 ",1970 ,港北区
　30～34," 22,733 ",1970 ,港北区
　35～39," 17,865 ",1970 ,港北区
　40～44," 14,046 ",1970 ,港北区
　45～49," 10,539 ",1970 ,港北区
　50～54," 8,240 ",1970 ,港北区
　55～59," 7,166 ",1970 ,港北区
　60～64," 5,121 ",1970 ,港北区
　65～69," 3,876 ",1970 ,港北区
　70～74," 2,476 ",1970 ,港北区
　75～79," 1,422 ",1970 ,港北区
　80～84, 794 ,1970 ,港北区
　85～89, 260 ,1970 ,港北区
　90～94, 65 ,1970 ,港北区
　95～99, 8 ,1970 ,港北区
　100歳以上, 1 ,1970 ,港北区
　０～４歳," 25,120 ",1975 ,港北区
　５～９," 20,806 ",1975 ,港北区
　10～14," 16,271 ",1975 ,港北区
　15～19," 16,323 ",1975 ,港北区
　20～24," 27,126 ",1975 ,港北区
　25～29," 32,825 ",1975 ,港北区
　30～34," 25,839 ",1975 ,港北区
　35～39," 20,941 ",1975 ,港北区
　40～44," 17,417 ",1975 ,港北区
　45～49," 14,415 ",1975 ,港北区
　50～54," 10,840 ",1975 ,港北区
　55～59," 8,284 ",1975 ,港北区
　60～64," 7,059 ",1975 ,港北区
　65～69," 4,880 ",1975 ,港北区
　70～74," 3,398 ",1975 ,港北区
　75～79," 2,039 ",1975 ,港北区
　80～84," 1,003 ",1975 ,港北区
　85～89, 399 ,1975 ,港北区
　90～94, 86 ,1975 ,港北区
　95～99, 9 ,1975 ,港北区
　100歳以上, - ,1975 ,港北区
　０～４歳," 19,462 ",1980 ,港北区
　５～９," 21,658 ",1980 ,港北区
　10～14," 19,422 ",1980 ,港北区
　15～19," 18,943 ",1980 ,港北区
　20～24," 24,115 ",1980 ,港北区
　25～29," 25,941 ",1980 ,港北区
　30～34," 28,449 ",1980 ,港北区
　35～39," 22,878 ",1980 ,港北区
　40～44," 19,414 ",1980 ,港北区
　45～49," 16,927 ",1980 ,港北区
　50～54," 14,088 ",1980 ,港北区
　55～59," 10,417 ",1980 ,港北区
　60～64," 7,794 ",1980 ,港北区
　65～69," 6,367 ",1980 ,港北区
　70～74," 4,252 ",1980 ,港北区
　75～79," 2,759 ",1980 ,港北区
　80～84," 1,425 ",1980 ,港北区
　85～89, 498 ,1980 ,港北区
　90～94, 124 ,1980 ,港北区
　95～99, 12 ,1980 ,港北区
　100歳以上, 1 ,1980 ,港北区
　０～４歳," 17,267 ",1985 ,港北区
　５～９," 17,101 ",1985 ,港北区
　10～14," 20,767 ",1985 ,港北区
　15～19," 22,214 ",1985 ,港北区
　20～24," 27,516 ",1985 ,港北区
　25～29," 24,236 ",1985 ,港北区
　30～34," 23,754 ",1985 ,港北区
　35～39," 25,949 ",1985 ,港北区
　40～44," 22,022 ",1985 ,港北区
　45～49," 19,152 ",1985 ,港北区
　50～54," 16,753 ",1985 ,港北区
　55～59," 13,731 ",1985 ,港北区
　60～64," 9,846 ",1985 ,港北区
　65～69," 7,152 ",1985 ,港北区
　70～74," 5,683 ",1985 ,港北区
　75～79," 3,549 ",1985 ,港北区
　80～84," 2,025 ",1985 ,港北区
　85～89, 843 ,1985 ,港北区
　90～94, 211 ,1985 ,港北区
　95～99, 32 ,1985 ,港北区
　100歳以上, 2 ,1985 ,港北区
　０～４歳,"16,418",1990 ,港北区
　５～９,"15,854",1990 ,港北区
　10～14,"16,853",1990 ,港北区
　15～19,"24,454",1990 ,港北区
　20～24,"31,506",1990 ,港北区
　25～29,"29,511",1990 ,港北区
　30～34,"24,413",1990 ,港北区
　35～39,"22,376",1990 ,港北区
　40～44,"25,828",1990 ,港北区
　45～49,"22,432",1990 ,港北区
　50～54,"19,490",1990 ,港北区
　55～59,"16,795",1990 ,港北区
　60～64,"13,308",1990 ,港北区
　65～69,"9,203",1990 ,港北区
　70～74,"6,491",1990 ,港北区
　75～79,"4,881",1990 ,港北区
　80～84,"2,715",1990 ,港北区
　85～89,"1,227",1990 ,港北区
　90～94,345,1990 ,港北区
　95～99,58,1990 ,港北区
　100歳以上,7,1990 ,港北区
　０～４歳,"13,403",1995 ,港北区
　５～９,"11,845",1995 ,港北区
　10～14,"12,880",1995 ,港北区
　15～19,"16,988",1995 ,港北区
　20～24,"28,584",1995 ,港北区
　25～29,"30,653",1995 ,港北区
　30～34,"25,867",1995 ,港北区
　35～39,"19,293",1995 ,港北区
　40～44,"18,661",1995 ,港北区
　45～49,"22,550",1995 ,港北区
　50～54,"19,160",1995 ,港北区
　55～59,"16,231",1995 ,港北区
　60～64,"13,935",1995 ,港北区
　65～69,"11,065",1995 ,港北区
　70～74,"7,562",1995 ,港北区
　75～79,"5,000",1995 ,港北区
　80～84,"3,354",1995 ,港北区
　85～89,"1,492",1995 ,港北区
　90～94,492,1995 ,港北区
　95～99,94,1995 ,港北区
　100歳以上,9,1995 ,港北区
　０～４歳,"14,160",2000,港北区
　５～９,"11,857",2000,港北区
　10～14,"11,674",2000,港北区
　15～19,"15,706",2000,港北区
　20～24,"24,341",2000,港北区
　25～29,"31,142",2000,港北区
　30～34,"30,282",2000,港北区
　35～39,"24,219",2000,港北区
　40～44,"18,696",2000,港北区
　45～49,"18,553",2000,港北区
　50～54,"22,080",2000,港北区
　55～59,"18,387",2000,港北区
　60～64,"15,236",2000,港北区
　65～69,"12,682",2000,港北区
　70～74,"10,002",2000,港北区
　75～79,"6,659",2000,港北区
　80～84,"3,937",2000,港北区
　85～89,"2,162",2000,港北区
　90～94,784,2000,港北区
　95～99,153,2000,港北区
　100歳以上,21,2000,港北区
　０～４歳,"14,058",2005 ,港北区
　５～９,"13,327",2005 ,港北区
　10～14,"11,921",2005 ,港北区
　15～19,"13,974",2005 ,港北区
　20～24,"21,483",2005 ,港北区
　25～29,"26,806",2005 ,港北区
　30～34,"31,959",2005 ,港北区
　35～39,"28,811",2005 ,港北区
　40～44,"23,541",2005 ,港北区
　45～49,"18,481",2005 ,港北区
　50～54,"18,307",2005 ,港北区
　55～59,"21,323",2005 ,港北区
　60～64,"17,390",2005 ,港北区
　65～69,"14,245",2005 ,港北区
　70～74,"11,743",2005 ,港北区
　75～79,"8,899",2005 ,港北区
　80～84,"5,536",2005 ,港北区
　85～89,"2,799",2005 ,港北区
　90～94,"1,216",2005 ,港北区
　95～99,316,2005 ,港北区
　100歳以上,41,2005 ,港北区
　０～４歳,"14,348 ",2010,港北区
　５～９,"13,203 ",2010,港北区
　10～14,"13,422 ",2010,港北区
　15～19,"14,172 ",2010,港北区
　20～24,"20,817 ",2010,港北区
　25～29,"26,196 ",2010,港北区
　30～34,"29,197 ",2010,港北区
　35～39,"31,408 ",2010,港北区
　40～44,"28,668 ",2010,港北区
　45～49,"23,901 ",2010,港北区
　50～54,"18,480 ",2010,港北区
　55～59,"18,228 ",2010,港北区
　60～64,"20,644 ",2010,港北区
　65～69,"16,546 ",2010,港北区
　70～74,"13,333 ",2010,港北区
　75～79,"10,786 ",2010,港北区
　80～84,"7,547 ",2010,港北区
　85～89,"4,149 ",2010,港北区
　90～94,"1,664 ",2010,港北区
　95～99,469 ,2010,港北区
　100歳以上,63 ,2010,港北区
　０～４歳,"15,665 ",2015,港北区
　５～９,"13,441 ",2015,港北区
　10～14,"13,288 ",2015,港北区
　15～19,"15,292 ",2015,港北区
　20～24,"19,580 ",2015,港北区
　25～29,"24,269 ",2015,港北区
　30～34,"27,864 ",2015,港北区
　35～39,"28,809 ",2015,港北区
　40～44,"31,000 ",2015,港北区
　45～49,"28,677 ",2015,港北区
　50～54,"23,532 ",2015,港北区
　55～59,"18,232 ",2015,港北区
　60～64,"17,387 ",2015,港北区
　65～69,"19,362 ",2015,港北区
　70～74,"15,406 ",2015,港北区
　75～79,"12,088 ",2015,港北区
　80～84,"9,149 ",2015,港北区
　85～89,"5,601 ",2015,港北区
　90～94,"2,411 ",2015,港北区
　95～99,590 ,2015,港北区
　100歳以上,109 ,2015,港北区
　０～４歳,,1955 ,緑区
　５～９,,1955 ,緑区
　10～14,,1955 ,緑区
　15～19,,1955 ,緑区
　20～24,,1955 ,緑区
　25～29,,1955 ,緑区
　30～34,,1955 ,緑区
　35～39,,1955 ,緑区
　40～44,,1955 ,緑区
　45～49,,1955 ,緑区
　50～54,,1955 ,緑区
　55～59,,1955 ,緑区
　60～64,,1955 ,緑区
　65～69,,1955 ,緑区
　70～74,,1955 ,緑区
　75～79,,1955 ,緑区
　80～84,,1955 ,緑区
　85～89,,1955 ,緑区
　90～94,,1955 ,緑区
　95～99,,1955 ,緑区
　100歳以上,,1955 ,緑区
　０～４歳,,1960 ,緑区
　５～９,,1960 ,緑区
　10～14,,1960 ,緑区
　15～19,,1960 ,緑区
　20～24,,1960 ,緑区
　25～29,,1960 ,緑区
　30～34,,1960 ,緑区
　35～39,,1960 ,緑区
　40～44,,1960 ,緑区
　45～49,,1960 ,緑区
　50～54,,1960 ,緑区
　55～59,,1960 ,緑区
　60～64,,1960 ,緑区
　65～69,,1960 ,緑区
　70～74,,1960 ,緑区
　75～79,,1960 ,緑区
　80～84,,1960 ,緑区
　85～89,,1960 ,緑区
　90～94,,1960 ,緑区
　95～99,,1960 ,緑区
　100歳以上,,1960 ,緑区
　０～４歳,,1965 ,緑区
　５～９,,1965 ,緑区
　10～14,,1965 ,緑区
　15～19,,1965 ,緑区
　20～24,,1965 ,緑区
　25～29,,1965 ,緑区
　30～34,,1965 ,緑区
　35～39,,1965 ,緑区
　40～44,,1965 ,緑区
　45～49,,1965 ,緑区
　50～54,,1965 ,緑区
　55～59,,1965 ,緑区
　60～64,,1965 ,緑区
　65～69,,1965 ,緑区
　70～74,,1965 ,緑区
　75～79,,1965 ,緑区
　80～84,,1965 ,緑区
　85～89,,1965 ,緑区
　90～94,,1965 ,緑区
　95～99,,1965 ,緑区
　100歳以上,,1965 ,緑区
　０～４歳," 17,674 ",1970 ,緑区
　５～９," 12,937 ",1970 ,緑区
　10～14," 9,014 ",1970 ,緑区
　15～19," 12,236 ",1970 ,緑区
　20～24," 16,264 ",1970 ,緑区
　25～29," 16,342 ",1970 ,緑区
　30～34," 16,345 ",1970 ,緑区
　35～39," 13,180 ",1970 ,緑区
　40～44," 9,485 ",1970 ,緑区
　45～49," 6,351 ",1970 ,緑区
　50～54," 4,877 ",1970 ,緑区
　55～59," 4,303 ",1970 ,緑区
　60～64," 2,950 ",1970 ,緑区
　65～69," 2,176 ",1970 ,緑区
　70～74," 1,483 ",1970 ,緑区
　75～79, 895 ,1970 ,緑区
　80～84, 459 ,1970 ,緑区
　85～89, 138 ,1970 ,緑区
　90～94, 40 ,1970 ,緑区
　95～99, 6 ,1970 ,緑区
　100歳以上, 1 ,1970 ,緑区
　０～４歳," 28,248 ",1975 ,緑区
　５～９," 23,590 ",1975 ,緑区
　10～14," 16,413 ",1975 ,緑区
　15～19," 14,413 ",1975 ,緑区
　20～24," 19,781 ",1975 ,緑区
　25～29," 26,958 ",1975 ,緑区
　30～34," 26,831 ",1975 ,緑区
　35～39," 22,651 ",1975 ,緑区
　40～44," 17,018 ",1975 ,緑区
　45～49," 12,341 ",1975 ,緑区
　50～54," 8,331 ",1975 ,緑区
　55～59," 6,090 ",1975 ,緑区
　60～64," 5,214 ",1975 ,緑区
　65～69," 3,436 ",1975 ,緑区
　70～74," 2,392 ",1975 ,緑区
　75～79," 1,446 ",1975 ,緑区
　80～84, 698 ,1975 ,緑区
　85～89, 285 ,1975 ,緑区
　90～94, 44 ,1975 ,緑区
　95～99, 3 ,1975 ,緑区
　100歳以上, - ,1975 ,緑区
　０～４歳," 24,865 ",1980 ,緑区
　５～９," 29,383 ",1980 ,緑区
　10～14," 24,164 ",1980 ,緑区
　15～19," 20,640 ",1980 ,緑区
　20～24," 21,712 ",1980 ,緑区
　25～29," 25,318 ",1980 ,緑区
　30～34," 31,897 ",1980 ,緑区
　35～39," 28,307 ",1980 ,緑区
　40～44," 23,461 ",1980 ,緑区
　45～49," 18,227 ",1980 ,緑区
　50～54," 13,347 ",1980 ,緑区
　55～59," 8,964 ",1980 ,緑区
　60～64," 6,465 ",1980 ,緑区
　65～69," 5,435 ",1980 ,緑区
　70～74," 3,479 ",1980 ,緑区
　75～79," 2,229 ",1980 ,緑区
　80～84," 1,165 ",1980 ,緑区
　85～89, 417 ,1980 ,緑区
　90～94, 104 ,1980 ,緑区
　95～99, 9 ,1980 ,緑区
　100歳以上, - ,1980 ,緑区
　０～４歳," 26,378 ",1985 ,緑区
　５～９," 27,873 ",1985 ,緑区
　10～14," 32,094 ",1985 ,緑区
　15～19," 29,808 ",1985 ,緑区
　20～24," 32,169 ",1985 ,緑区
　25～29," 30,078 ",1985 ,緑区
　30～34," 31,398 ",1985 ,緑区
　35～39," 37,095 ",1985 ,緑区
　40～44," 31,077 ",1985 ,緑区
　45～49," 25,493 ",1985 ,緑区
　50～54," 19,872 ",1985 ,緑区
　55～59," 14,504 ",1985 ,緑区
　60～64," 9,468 ",1985 ,緑区
　65～69," 6,765 ",1985 ,緑区
　70～74," 5,445 ",1985 ,緑区
　75～79," 3,355 ",1985 ,緑区
　80～84," 1,881 ",1985 ,緑区
　85～89, 805 ,1985 ,緑区
　90～94, 191 ,1985 ,緑区
　95～99, 31 ,1985 ,緑区
　100歳以上, 2 ,1985 ,緑区
　０～４歳,"26,783",1990 ,緑区
　５～９,"27,554",1990 ,緑区
　10～14,"29,081",1990 ,緑区
　15～19,"36,685",1990 ,緑区
　20～24,"39,462",1990 ,緑区
　25～29,"38,467",1990 ,緑区
　30～34,"34,207",1990 ,緑区
　35～39,"33,614",1990 ,緑区
　40～44,"38,888",1990 ,緑区
　45～49,"32,401",1990 ,緑区
　50～54,"26,187",1990 ,緑区
　55～59,"20,438",1990 ,緑区
　60～64,"14,574",1990 ,緑区
　65～69,"9,492",1990 ,緑区
　70～74,"6,681",1990 ,緑区
　75～79,"5,185",1990 ,緑区
　80～84,"2,944",1990 ,緑区
　85～89,"1,366",1990 ,緑区
　90～94,444,1990 ,緑区
　95～99,77,1990 ,緑区
　100歳以上,5,1990 ,緑区
　０～４歳,"7,936",1995 ,緑区
　５～９,"7,774",1995 ,緑区
　10～14,"8,512",1995 ,緑区
　15～19,"10,137",1995 ,緑区
　20～24,"13,115",1995 ,緑区
　25～29,"13,574",1995 ,緑区
　30～34,"12,024",1995 ,緑区
　35～39,"10,087",1995 ,緑区
　40～44,"10,546",1995 ,緑区
　45～49,"12,914",1995 ,緑区
　50～54,"11,195",1995 ,緑区
　55～59,"9,526",1995 ,緑区
　60～64,"7,400",1995 ,緑区
　65～69,"5,284",1995 ,緑区
　70～74,"3,398",1995 ,緑区
　75～79,"2,321",1995 ,緑区
　80～84,"1,624",1995 ,緑区
　85～89,787,1995 ,緑区
　90～94,282,1995 ,緑区
　95～99,56,1995 ,緑区
　100歳以上,6,1995 ,緑区
　０～４歳,"8,228",2000,緑区
　５～９,"7,594",2000,緑区
　10～14,"7,761",2000,緑区
　15～19,"9,061",2000,緑区
　20～24,"11,206",2000,緑区
　25～29,"14,304",2000,緑区
　30～34,"14,318",2000,緑区
　35～39,"12,026",2000,緑区
　40～44,"9,948",2000,緑区
　45～49,"10,599",2000,緑区
　50～54,"12,768",2000,緑区
　55～59,"11,163",2000,緑区
　60～64,"9,409",2000,緑区
　65～69,"7,297",2000,緑区
　70～74,"5,127",2000,緑区
　75～79,"3,205",2000,緑区
　80～84,"2,065",2000,緑区
　85～89,"1,246",2000,緑区
　90～94,513,2000,緑区
　95～99,120,2000,緑区
　100歳以上,16,2000,緑区
　０～４歳,"8,613",2005 ,緑区
　５～９,"8,623",2005 ,緑区
　10～14,"7,876",2005 ,緑区
　15～19,"8,451",2005 ,緑区
　20～24,"10,061",2005 ,緑区
　25～29,"12,131",2005 ,緑区
　30～34,"15,409",2005 ,緑区
　35～39,"14,947",2005 ,緑区
　40～44,"12,347",2005 ,緑区
　45～49,"10,164",2005 ,緑区
　50～54,"10,643",2005 ,緑区
　55～59,"12,757",2005 ,緑区
　60～64,"11,027",2005 ,緑区
　65～69,"9,215",2005 ,緑区
　70～74,"7,125",2005 ,緑区
　75～79,"4,797",2005 ,緑区
　80～84,"2,843",2005 ,緑区
　85～89,"1,660",2005 ,緑区
　90～94,821,2005 ,緑区
　95～99,205,2005 ,緑区
　100歳以上,27,2005 ,緑区
　０～４歳,"8,387 ",2010,緑区
　５～９,"8,758 ",2010,緑区
　10～14,"8,724 ",2010,緑区
　15～19,"8,477 ",2010,緑区
　20～24,"9,492 ",2010,緑区
　25～29,"10,730 ",2010,緑区
　30～34,"12,785 ",2010,緑区
　35～39,"15,666 ",2010,緑区
　40～44,"14,789 ",2010,緑区
　45～49,"12,303 ",2010,緑区
　50～54,"10,084 ",2010,緑区
　55～59,"10,393 ",2010,緑区
　60～64,"12,282 ",2010,緑区
　65～69,"10,688 ",2010,緑区
　70～74,"8,766 ",2010,緑区
　75～79,"6,691 ",2010,緑区
　80～84,"4,325 ",2010,緑区
　85～89,"2,429 ",2010,緑区
　90～94,"1,171 ",2010,緑区
　95～99,399 ,2010,緑区
　100歳以上,54 ,2010,緑区
　０～４歳,"7,686 ",2015,緑区
　５～９,"8,240 ",2015,緑区
　10～14,"8,708 ",2015,緑区
　15～19,"9,226 ",2015,緑区
　20～24,"9,233 ",2015,緑区
　25～29,"9,457 ",2015,緑区
　30～34,"10,934 ",2015,緑区
　35～39,"12,792 ",2015,緑区
　40～44,"15,486 ",2015,緑区
　45～49,"14,684 ",2015,緑区
　50～54,"12,215 ",2015,緑区
　55～59,"9,842 ",2015,緑区
　60～64,"9,960 ",2015,緑区
　65～69,"11,756 ",2015,緑区
　70～74,"10,164 ",2015,緑区
　75～79,"8,083 ",2015,緑区
　80～84,"5,812 ",2015,緑区
　85～89,"3,238 ",2015,緑区
　90～94,"1,456 ",2015,緑区
　95～99,475 ,2015,緑区
　100歳以上,71 ,2015,緑区
　０～４歳,,1955 ,青葉区
　５～９,,1955 ,青葉区
　10～14,,1955 ,青葉区
　15～19,,1955 ,青葉区
　20～24,,1955 ,青葉区
　25～29,,1955 ,青葉区
　30～34,,1955 ,青葉区
　35～39,,1955 ,青葉区
　40～44,,1955 ,青葉区
　45～49,,1955 ,青葉区
　50～54,,1955 ,青葉区
　55～59,,1955 ,青葉区
　60～64,,1955 ,青葉区
　65～69,,1955 ,青葉区
　70～74,,1955 ,青葉区
　75～79,,1955 ,青葉区
　80～84,,1955 ,青葉区
　85～89,,1955 ,青葉区
　90～94,,1955 ,青葉区
　95～99,,1955 ,青葉区
　100歳以上,,1955 ,青葉区
　０～４歳,,1960 ,青葉区
　５～９,,1960 ,青葉区
　10～14,,1960 ,青葉区
　15～19,,1960 ,青葉区
　20～24,,1960 ,青葉区
　25～29,,1960 ,青葉区
　30～34,,1960 ,青葉区
　35～39,,1960 ,青葉区
　40～44,,1960 ,青葉区
　45～49,,1960 ,青葉区
　50～54,,1960 ,青葉区
　55～59,,1960 ,青葉区
　60～64,,1960 ,青葉区
　65～69,,1960 ,青葉区
　70～74,,1960 ,青葉区
　75～79,,1960 ,青葉区
　80～84,,1960 ,青葉区
　85～89,,1960 ,青葉区
　90～94,,1960 ,青葉区
　95～99,,1960 ,青葉区
　100歳以上,,1960 ,青葉区
　０～４歳,,1965 ,青葉区
　５～９,,1965 ,青葉区
　10～14,,1965 ,青葉区
　15～19,,1965 ,青葉区
　20～24,,1965 ,青葉区
　25～29,,1965 ,青葉区
　30～34,,1965 ,青葉区
　35～39,,1965 ,青葉区
　40～44,,1965 ,青葉区
　45～49,,1965 ,青葉区
　50～54,,1965 ,青葉区
　55～59,,1965 ,青葉区
　60～64,,1965 ,青葉区
　65～69,,1965 ,青葉区
　70～74,,1965 ,青葉区
　75～79,,1965 ,青葉区
　80～84,,1965 ,青葉区
　85～89,,1965 ,青葉区
　90～94,,1965 ,青葉区
　95～99,,1965 ,青葉区
　100歳以上,,1965 ,青葉区
　０～４歳,,1970 ,青葉区
　５～９,,1970 ,青葉区
　10～14,,1970 ,青葉区
　15～19,,1970 ,青葉区
　20～24,,1970 ,青葉区
　25～29,,1970 ,青葉区
　30～34,,1970 ,青葉区
　35～39,,1970 ,青葉区
　40～44,,1970 ,青葉区
　45～49,,1970 ,青葉区
　50～54,,1970 ,青葉区
　55～59,,1970 ,青葉区
　60～64,,1970 ,青葉区
　65～69,,1970 ,青葉区
　70～74,,1970 ,青葉区
　75～79,,1970 ,青葉区
　80～84,,1970 ,青葉区
　85～89,,1970 ,青葉区
　90～94,,1970 ,青葉区
　95～99,,1970 ,青葉区
　100歳以上,,1970 ,青葉区
　０～４歳,,1975 ,青葉区
　５～９,,1975 ,青葉区
　10～14,,1975 ,青葉区
　15～19,,1975 ,青葉区
　20～24,,1975 ,青葉区
　25～29,,1975 ,青葉区
　30～34,,1975 ,青葉区
　35～39,,1975 ,青葉区
　40～44,,1975 ,青葉区
　45～49,,1975 ,青葉区
　50～54,,1975 ,青葉区
　55～59,,1975 ,青葉区
　60～64,,1975 ,青葉区
　65～69,,1975 ,青葉区
　70～74,,1975 ,青葉区
　75～79,,1975 ,青葉区
　80～84,,1975 ,青葉区
　85～89,,1975 ,青葉区
　90～94,,1975 ,青葉区
　95～99,,1975 ,青葉区
　100歳以上,,1975 ,青葉区
　０～４歳,,1980 ,青葉区
　５～９,,1980 ,青葉区
　10～14,,1980 ,青葉区
　15～19,,1980 ,青葉区
　20～24,,1980 ,青葉区
　25～29,,1980 ,青葉区
　30～34,,1980 ,青葉区
　35～39,,1980 ,青葉区
　40～44,,1980 ,青葉区
　45～49,,1980 ,青葉区
　50～54,,1980 ,青葉区
　55～59,,1980 ,青葉区
　60～64,,1980 ,青葉区
　65～69,,1980 ,青葉区
　70～74,,1980 ,青葉区
　75～79,,1980 ,青葉区
　80～84,,1980 ,青葉区
