"","Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Nett Price($)","Unit Price ($ psm)","Unit Price ($ psf)","Sale Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","country","city"
"1","LA CASA","68 Woodlands Drive 16  #10-38",1,119,"Strata",998000,"-",8387,779,"29-SEP-2020","Executive Condominium","99 Yrs From 13/09/2004","2008","Resale","HDB","25","73","737892","North Region","Woodlands","Singapore","Singapore"
"2","THE PANORAMA","16 Ang Mo Kio Avenue 2  #03-27",1,44,"Strata",685000,"-",15568,1446,"29-SEP-2020","Condominium","99 Yrs From 08/04/2013","2017","Resale","Private","20","56","567699","North East Region","Ang Mo Kio","Singapore","Singapore"
"3","WATERFRONT GOLD","750 Bedok Reservoir Road  #09-02",1,137,"Strata",1738000,"-",12686,1179,"29-SEP-2020","Condominium","99 Yrs From 26/11/2009","2014","Resale","Private","16","47","479256","East Region","Bedok","Singapore","Singapore"
"4","THE RAINTREE","93 Bukit Drive  #05-28",1,147,"Strata",1650000,"-",11224,1043,"29-SEP-2020","Condominium","99 Yrs From 01/03/2003","2008","Resale","Private","21","58","587844","West Region","Bukit Panjang","Singapore","Singapore"
"5","WATERBANK AT DAKOTA","70 Dakota Crescent  #16-02",1,82,"Strata",1520000,"-",18537,1722,"29-SEP-2020","Condominium","99 Yrs From 07/12/2009","2013","Resale","HDB","14","39","399941","Central Region","Geylang","Singapore","Singapore"
"6","SUITES @ EASTCOAST","171 Upper East Coast Road  #02-02",1,84,"Strata",1090000,"-",12976,1206,"29-SEP-2020","Condominium","Freehold","2012","Resale","Private","15","45","455273","East Region","Bedok","Singapore","Singapore"
"7","CARIBBEAN AT KEPPEL BAY","18 Keppel Bay Drive  #04-24",1,82,"Strata",1450000,"-",17683,1643,"29-SEP-2020","Condominium","99 Yrs From 16/08/1999","2004","Resale","Private","04","09","098644","Central Region","Bukit Merah","Singapore","Singapore"
"8","TRELLIS TOWERS","700 Lorong 1 Toa Payoh  #23-09",1,138,"Strata",2240000,"-",16232,1508,"29-SEP-2020","Condominium","Freehold","2000","Resale","Private","12","31","319773","Central Region","Toa Payoh","Singapore","Singapore"
"9","RIVERPARC RESIDENCE","100 Punggol Drive  #11-23",1,100,"Strata",1018000,"-",10180,946,"29-SEP-2020","Executive Condominium","99 Yrs From 27/12/2010","2014","Resale","HDB","19","82","828799","North East Region","Punggol","Singapore","Singapore"
"10","DOUBLE BAY RESIDENCES","19B Simei Street 4  #06-25",1,127,"Strata",1530000,"-",12047,1119,"29-SEP-2020","Condominium","99 Yrs From 07/04/2008","2012","Resale","Private","18","52","528714","East Region","Tampines","Singapore","Singapore"
"11","THE SANTORINI","21 Tampines Street 86  #13-11",1,43,"Strata",598000,"-",13907,1292,"29-SEP-2020","Condominium","99 Yrs From 16/10/2013","2017","Resale","Private","18","52","528592","East Region","Tampines","Singapore","Singapore"
"12","GRAND CHATEAU","2 Jalan Rajawali  #08-06",1,100,"Strata",1230000,"-",12300,1143,"29-SEP-2020","Condominium","Freehold","1996","Resale","Private","21","59","598435","Central Region","Bukit Timah","Singapore","Singapore"
"13","PAVILION 11","25 Akyab Road  #15-07",1,138,"Strata",2350000,"-",17029,1582,"28-SEP-2020","Condominium","Freehold","2009","Resale","Private","11","30","309979","Central Region","Novena","Singapore","Singapore"
"14","EASTERN LAGOON","214 Upper East Coast Road  #04-02",1,70,"Strata",850000,"-",12143,1128,"28-SEP-2020","Condominium","Freehold","1985","Resale","HDB","16","46","466402","East Region","Bedok","Singapore","Singapore"
"15","THE PANORAMA","16 Ang Mo Kio Avenue 2  #07-25",1,93,"Strata",1538000,"-",16538,1536,"28-SEP-2020","Condominium","99 Yrs From 08/04/2013","2017","Resale","Private","20","56","567699","North East Region","Ang Mo Kio","Singapore","Singapore"
"16","ARCHIPELAGO","511 Bedok Reservoir Road  #04-44",1,110,"Strata",1440000,"-",13091,1216,"28-SEP-2020","Condominium","99 Yrs From 01/06/2011","2015","Resale","HDB","16","47","479272","East Region","Bedok","Singapore","Singapore"
"17","WATERFRONT ISLE","732 Bedok Reservoir Road  #05-09",1,85,"Strata",1030000,"-",12118,1126,"28-SEP-2020","Condominium","99 Yrs From 26/11/2009","2015","Resale","HDB","16","47","479262","East Region","Bedok","Singapore","Singapore"
"18","CLOVER BY THE PARK","2 Bishan Street 25  #16-07",1,120,"Strata",1720000,"-",14333,1332,"28-SEP-2020","Condominium","99 Yrs From 10/09/2007","2011","Resale","HDB","20","57","573973","Central Region","Bishan","Singapore","Singapore"
"19","REGENT HEIGHTS","52 Bukit Batok East Avenue 5  #21-06",1,108,"Strata",865000,"-",8009,744,"28-SEP-2020","Condominium","99 Yrs From 07/11/1995","1999","Resale","Private","23","65","659802","West Region","Bukit Batok","Singapore","Singapore"
"20","1 CANBERRA","11 Canberra Drive  #01-21",1,143,"Strata",1100000,"-",7692,715,"28-SEP-2020","Executive Condominium","99 Yrs From 30/01/2012","2015","Resale","HDB","27","76","768071","North Region","Yishun","Singapore","Singapore"
"21","1 CANBERRA","13 Canberra Drive  #10-28",1,97,"Strata",980000,"-",10103,939,"28-SEP-2020","Executive Condominium","99 Yrs From 30/01/2012","2015","Resale","HDB","27","76","768072","North Region","Yishun","Singapore","Singapore"
"22","1 CANBERRA","5 Canberra Drive  #12-09",1,98,"Strata",960000,"-",9796,910,"28-SEP-2020","Executive Condominium","99 Yrs From 30/01/2012","2015","Resale","HDB","27","76","768103","North Region","Yishun","Singapore","Singapore"
"23","CANBERRA RESIDENCES","501 Canberra Drive  #04-05",1,84,"Strata",821000,"-",9774,908,"28-SEP-2020","Condominium","99 Yrs From 08/09/2010","2013","Resale","HDB","27","76","768124","North Region","Sembawang","Singapore","Singapore"
"24","REGENT GROVE","52 Choa Chu Kang North 7  #08-29",1,109,"Strata",780000,"-",7156,665,"28-SEP-2020","Condominium","99 Yrs From 17/05/1997","2000","Resale","HDB","23","68","689528","West Region","Choa Chu Kang","Singapore","Singapore"
"25","6 DERBYSHIRE","6 Derbyshire Road  #14-04",1,48,"Strata",936000,"-",19500,1812,"28-SEP-2020","Condominium","Freehold","2017","Resale","Private","11","30","309462","Central Region","Novena","Singapore","Singapore"
"26","EDELWEISS PARK CONDOMINIUM","86 Flora Road  #03-20",1,119,"Strata",1025000,"-",8613,800,"28-SEP-2020","Condominium","Freehold","2006","Resale","Private","17","50","507002","East Region","Pasir Ris","Singapore","Singapore"
"27","KINGSFORD . HILLVIEW PEAK","101 Hillview Rise  #13-03",1,77,"Strata",1120000,"-",14545,1351,"28-SEP-2020","Condominium","99 Yrs From 04/06/2012","2017","Resale","Private","23","66","667981","West Region","Bukit Batok","Singapore","Singapore"
"28","THE FLORIDA","76 Hougang Avenue 7  #10-23",1,129,"Strata",1e+06,"-",7752,720,"28-SEP-2020","Executive Condominium","99 Yrs From 16/12/1997","2000","Resale","HDB","19","53","538807","North East Region","Hougang","Singapore","Singapore"
"29","SUMMERHILL","50 Hume Avenue  #02-09",1,149,"Strata",2050000,"-",13758,1278,"28-SEP-2020","Condominium","Freehold","2002","Resale","HDB","21","59","596229","West Region","Bukit Batok","Singapore","Singapore"
"30","EUPHONY GARDENS","5 Jalan Mata Ayer  #04-25",1,88,"Strata",696000,"-",7909,735,"28-SEP-2020","Condominium","99 Yrs From 25/02/1998","2001","Resale","HDB","27","75","759151","North Region","Mandai","Singapore","Singapore"
"31","SAGE","11A Nassim Road  #01-03",1,325,"Strata",1e+07,"-",30769,2859,"28-SEP-2020","Condominium","Freehold","2012","Resale","Private","10","25","258379","Central Region","Tanglin","Singapore","Singapore"
"32","PARC CENTROS","86 Punggol Central  #12-14",1,106,"Strata",1320000,"-",12453,1157,"28-SEP-2020","Condominium","99 Yrs From 19/03/2012","2016","Resale","HDB","19","82","828720","North East Region","Punggol","Singapore","Singapore"
"33","TWIN WATERFALLS","112 Punggol Walk  #09-25",1,85,"Strata",938000,"-",11035,1025,"28-SEP-2020","Executive Condominium","99 Yrs From 05/10/2011","2015","Resale","HDB","19","82","828766","North East Region","Punggol","Singapore","Singapore"
"34","COSTA RHU","5 Rhu Cross  #02-10",1,194,"Strata",3080000,"-",15876,1475,"28-SEP-2020","Condominium","99 Yrs From 30/05/1994","1997","Resale","Private","15","43","437434","Central Region","Kallang","Singapore","Singapore"
"35","SOLEIL @ SINARAN","2 Sinaran Drive  #30-01",1,89,"Strata",1800000,"-",20225,1879,"28-SEP-2020","Condominium","99 Yrs From 23/10/2006","2011","Resale","Private","11","30","307467","Central Region","Novena","Singapore","Singapore"
"36","8 SAINT THOMAS","10 St. Thomas Walk  #30-09",1,121,"Strata",3750000,"-",30992,2879,"28-SEP-2020","Condominium","Freehold","2018","Resale","Private","09","23","238102","Central Region","River Valley","Singapore","Singapore"
"37","8 SAINT THOMAS","8 St. Thomas Walk  #02-01",1,97,"Strata",2620000,"-",27010,2509,"28-SEP-2020","Condominium","Freehold","2018","Resale","Private","09","23","238146","Central Region","River Valley","Singapore","Singapore"
"38","CAMELOT BY-THE-WATER","112 Tanjong Rhu Road  #06-02",1,282,"Strata",5088000,"-",18043,1676,"28-SEP-2020","Condominium","99 Yrs From 07/06/1996","2000","Resale","Private","15","43","436929","Central Region","Kallang","Singapore","Singapore"
"39","TERRASSE","31 Terrasse Lane  #04-60",1,107,"Strata",1300000,"-",12150,1129,"28-SEP-2020","Condominium","99 Yrs From 23/08/2010","2014","Resale","HDB","19","54","544779","North East Region","Hougang","Singapore","Singapore"
"40","ONE AMBER","7 Amber Gardens  #21-18",1,158,"Strata",2950000,"-",18671,1735,"28-SEP-2020","Condominium","Freehold","2010","Resale","Private","15","43","439974","Central Region","Marine Parade","Singapore","Singapore"
"41","JADESCAPE","2 Shunfu Road  #05-05",1,49,"Strata",904000,"-",18449,1714,"27-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575742","Central Region","Bishan","Singapore","Singapore"
"42","PIERMONT GRAND","40 Sumang Walk  #13-37",1,78,"Strata",1005400,"-",12890,1197,"27-SEP-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","N.A","19","82","828625","North East Region","Punggol","Singapore","Singapore"
"43","JADESCAPE","4 Shunfu Road  #22-15",1,49,"Strata",957000,"-",19531,1814,"27-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575743","Central Region","Bishan","Singapore","Singapore"
"44","TREASURE AT TAMPINES","9 Tampines Lane  #10-34",1,85,"Strata",1282000,"-",15082,1401,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528481","East Region","Tampines","Singapore","Singapore"
"45","JADESCAPE","10 Shunfu Road  #05-39",1,153,"Strata",2798000,"-",18288,1699,"27-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575746","Central Region","Bishan","Singapore","Singapore"
"46","JADESCAPE","12 Shunfu Road  #02-44",1,49,"Strata",914300,"-",18659,1733,"27-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575747","Central Region","Bishan","Singapore","Singapore"
"47","JADESCAPE","2 Shunfu Road  #19-01",1,71,"Strata",1390000,"-",19577,1819,"27-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575742","Central Region","Bishan","Singapore","Singapore"
"48","TREASURE AT TAMPINES","29 Tampines Lane  #05-100",1,159,"Strata",2034000,"-",12792,1188,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528471","East Region","Tampines","Singapore","Singapore"
"49","TREASURE AT TAMPINES","31 Tampines Lane  #12-102",1,118,"Strata",1712000,"-",14508,1348,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528470","East Region","Tampines","Singapore","Singapore"
"50","TREASURE AT TAMPINES","35 Tampines Lane  #03-114",1,63,"Strata",962000,"-",15270,1419,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528468","East Region","Tampines","Singapore","Singapore"
"51","TREASURE AT TAMPINES","37 Tampines Lane  #02-121",1,63,"Strata",921000,"-",14619,1358,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528467","East Region","Tampines","Singapore","Singapore"
"52","TREASURE AT TAMPINES","37 Tampines Lane  #05-123",1,115,"Strata",1597000,"-",13887,1290,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528467","East Region","Tampines","Singapore","Singapore"
"53","TREASURE AT TAMPINES","39 Tampines Lane  #04-124",1,63,"Strata",956000,"-",15175,1410,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528466","East Region","Tampines","Singapore","Singapore"
"54","TREASURE AT TAMPINES","39 Tampines Lane  #11-131",1,96,"Strata",1408000,"-",14667,1363,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528466","East Region","Tampines","Singapore","Singapore"
"55","TREASURE AT TAMPINES","49 Tampines Lane  #08-164",1,63,"Strata",980000,"-",15556,1445,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528461","East Region","Tampines","Singapore","Singapore"
"56","PARC CANBERRA","11 Canberra Walk  #07-22",1,88,"Strata",1062000,"-",12068,1121,"27-SEP-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","N.A","27","75","756946","North Region","Sembawang","Singapore","Singapore"
"57","TREASURE AT TAMPINES","25 Tampines Lane  #08-86",1,63,"Strata",980000,"-",15556,1445,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528473","East Region","Tampines","Singapore","Singapore"
"58","TREASURE AT TAMPINES","25 Tampines Lane  #04-86",1,63,"Strata",956000,"-",15175,1410,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528473","East Region","Tampines","Singapore","Singapore"
"59","TREASURE AT TAMPINES","25 Tampines Lane  #12-87",1,61,"Strata",970000,"-",15902,1477,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528473","East Region","Tampines","Singapore","Singapore"
"60","TREASURE AT TAMPINES","27 Tampines Lane  #11-93",1,96,"Strata",1449000,"-",15094,1402,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528472","East Region","Tampines","Singapore","Singapore"
"61","TREASURE AT TAMPINES","49 Tampines Lane  #04-170",1,96,"Strata",1329000,"-",13844,1286,"27-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528461","East Region","Tampines","Singapore","Singapore"
"62","PARK COLONIAL","12 Woodleigh Lane  #12-49",1,56,"Strata",1283000,"-",22911,2128,"27-SEP-2020","Condominium","99 Yrs From 11/10/2017","Uncompleted","New Sale","N.A","13","35","357658","Central Region","Toa Payoh","Singapore","Singapore"
"63","PARK COLONIAL","2 Woodleigh Lane  #05-07",1,94,"Strata",1888000,"-",20085,1866,"27-SEP-2020","Condominium","99 Yrs From 11/10/2017","Uncompleted","New Sale","N.A","13","35","357685","Central Region","Toa Payoh","Singapore","Singapore"
"64","PARK COLONIAL","2 Woodleigh Lane  #13-07",1,94,"Strata",1935000,"-",20585,1912,"27-SEP-2020","Condominium","99 Yrs From 11/10/2017","Uncompleted","New Sale","N.A","13","35","357685","Central Region","Toa Payoh","Singapore","Singapore"
"65","DAINTREE RESIDENCE","11A Toh Tuck Road  #05-03",1,63,"Strata",1247720,"-",19805,1840,"27-SEP-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596157","Central Region","Bukit Timah","Singapore","Singapore"
"66","DAINTREE RESIDENCE","11E Toh Tuck Road  #05-23",1,98,"Strata",1807990,"-",18449,1714,"27-SEP-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596127","Central Region","Bukit Timah","Singapore","Singapore"
"67","DAINTREE RESIDENCE","11M Toh Tuck Road  #03-65",1,51,"Strata",938090,"-",18394,1709,"27-SEP-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596134","Central Region","Bukit Timah","Singapore","Singapore"
"68","JADESCAPE","2 Shunfu Road  #19-09",1,71,"Strata",1390400,"-",19583,1819,"27-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575742","Central Region","Bishan","Singapore","Singapore"
"69","TREASURE AT TAMPINES","5 Tampines Lane  #04-19",1,85,"Strata",1189000,"-",13988,1300,"26-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528485","East Region","Tampines","Singapore","Singapore"
"70","THE GAZANIA","19 How Sun Drive  #03-50",1,84,"Strata",1760000,"-",20952,1947,"26-SEP-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","19","53","538555","North East Region","Serangoon","Singapore","Singapore"
"71","JADESCAPE","16 Shunfu Road  #11-59",1,49,"Strata",939000,"-",19163,1780,"26-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575749","Central Region","Bishan","Singapore","Singapore"
"72","JADESCAPE","16 Shunfu Road  #13-59",1,49,"Strata",947000,"-",19327,1795,"26-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575749","Central Region","Bishan","Singapore","Singapore"
"73","TREASURE AT TAMPINES","43 Tampines Lane  #05-143",1,115,"Strata",1658000,"-",14417,1339,"26-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528464","East Region","Tampines","Singapore","Singapore"
"74","TREASURE AT TAMPINES","47 Tampines Lane  #10-157",1,63,"Strata",990000,"-",15714,1460,"26-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528462","East Region","Tampines","Singapore","Singapore"
"75","TREASURE AT TAMPINES","49 Tampines Lane  #09-164",1,63,"Strata",984000,"-",15619,1451,"26-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528461","East Region","Tampines","Singapore","Singapore"
"76","TREASURE AT TAMPINES","49 Tampines Lane  #06-166",1,85,"Strata",1250000,"-",14706,1366,"26-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528461","East Region","Tampines","Singapore","Singapore"
"77","PARC CANBERRA","13 Canberra Walk  #07-26",1,88,"Strata",1031000,"-",11716,1088,"26-SEP-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","N.A","27","75","756947","North Region","Sembawang","Singapore","Singapore"
"78","TREASURE AT TAMPINES","21 Tampines Lane  #09-74",1,160,"Strata",2115000,"-",13219,1228,"26-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528475","East Region","Tampines","Singapore","Singapore"
"79","TREASURE AT TAMPINES","23 Tampines Lane  #04-80",1,124,"Strata",1772000,"-",14290,1328,"26-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528474","East Region","Tampines","Singapore","Singapore"
"80","TREASURE AT TAMPINES","25 Tampines Lane  #06-86",1,63,"Strata",966000,"-",15333,1425,"26-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528473","East Region","Tampines","Singapore","Singapore"
"81","JADESCAPE","6 Shunfu Road  #21-23",1,71,"Strata",1364900,"-",19224,1786,"26-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575744","Central Region","Bishan","Singapore","Singapore"
"82","JADESCAPE","8 Shunfu Road  #17-31",1,71,"Strata",1344500,"-",18937,1759,"26-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575745","Central Region","Bishan","Singapore","Singapore"
"83","MONT BOTANIK RESIDENCE","2L Jalan Remaja  #03-07",1,72,"Strata",1278000,"-",17750,1649,"26-SEP-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","23","66","668729","West Region","Bukit Batok","Singapore","Singapore"
"84","THE TRE VER","68 Potong Pasir Avenue 1  #19-37",1,46,"Strata",868000,"-",18870,1753,"26-SEP-2020","Condominium","99 Yrs From 27/03/2018","Uncompleted","New Sale","N.A","13","35","358395","Central Region","Toa Payoh","Singapore","Singapore"
"85","DAINTREE RESIDENCE","11F Toh Tuck Road  #02-30",1,71,"Strata",1268910,"-",17872,1660,"26-SEP-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596128","Central Region","Bukit Timah","Singapore","Singapore"
"86","DAINTREE RESIDENCE","11H Toh Tuck Road  #01-44",1,98,"Strata",1776660,"-",18129,1684,"26-SEP-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596130","Central Region","Bukit Timah","Singapore","Singapore"
"87","TREASURE AT TAMPINES","9 Tampines Lane  #12-39",1,79,"Strata",1202000,"-",15215,1414,"26-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528481","East Region","Tampines","Singapore","Singapore"
"88","JADESCAPE","4 Shunfu Road  #17-13",1,49,"Strata",944300,"-",19271,1790,"25-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575743","Central Region","Bishan","Singapore","Singapore"
"89","THE TAMPINES TRILLIANT","25 Tampines Central 7  #06-31",1,81,"Strata",913000,"-",11272,1047,"25-SEP-2020","Executive Condominium","99 Yrs From 13/07/2011","2015","Resale","Private","18","52","528610","East Region","Tampines","Singapore","Singapore"
"90","PARK NATURA","35 Bukit Batok East Avenue 6  #05-10",1,215,"Strata",2400000,"-",11163,1037,"25-SEP-2020","Condominium","Freehold","2011","Resale","Private","23","65","659765","Central Region","Bukit Timah","Singapore","Singapore"
"91","THE INTERLACE","216 Depot Road  #12-71",1,162,"Strata",2230000,"-",13765,1279,"25-SEP-2020","Condominium","99 Yrs From 11/02/2009","2013","Resale","Private","04","10","109702","Central Region","Bukit Merah","Singapore","Singapore"
"92","TREASURE AT TAMPINES","51 Tampines Lane  #02-173",1,63,"Strata",957000,"-",15190,1411,"25-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528460","East Region","Tampines","Singapore","Singapore"
"93","TREASURE AT TAMPINES","55 Tampines Lane  #11-190",1,78,"Strata",1181000,"-",15141,1407,"25-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528458","East Region","Tampines","Singapore","Singapore"
"94","PRINCIPAL GARDEN","97 Prince Charles Crescent  #08-17",1,115,"Strata",2438000,"-",21200,1970,"25-SEP-2020","Condominium","99 Yrs From 21/07/2014","2018","Resale","Private","03","15","159028","Central Region","Bukit Merah","Singapore","Singapore"
"95","MARTIN MODERN","8 Martin Place  #27-13",1,79,"Strata",2474000,"2386000",30203,2806,"25-SEP-2020","Condominium","99 Yrs From 28/09/2016","Uncompleted","New Sale","N.A","09","23","237992","Central Region","River Valley","Singapore","Singapore"
"96","COSTA DEL SOL","78 Bayshore Road  #29-21",1,145,"Strata",2220000,"-",15310,1422,"25-SEP-2020","Condominium","99 Yrs From 05/05/1997","2003","Resale","Private","16","46","469991","East Region","Bedok","Singapore","Singapore"
"97","SUNNY PALMS","65 Lorong G Telok Kurau  #03-06",1,97,"Strata",1115000,"-",11495,1068,"25-SEP-2020","Condominium","Freehold","2004","Resale","Private","15","42","426323","East Region","Bedok","Singapore","Singapore"
"98","THE AMERY","18 Lorong K Telok Kurau  #03-11",1,126,"Strata",1760000,"-",13968,1298,"25-SEP-2020","Condominium","Freehold","2010","Resale","Private","15","42","425781","East Region","Bedok","Singapore","Singapore"
"99","AMARYLLIS VILLE","20 Newton Road  #22-06",1,157,"Strata",2780000,"-",17707,1645,"25-SEP-2020","Condominium","99 Yrs From 24/10/1997","2004","Resale","Private","11","30","307953","Central Region","Novena","Singapore","Singapore"
"100","HORIZON RESIDENCES","41 Pasir Panjang Hill  #01-07",1,127,"Strata",2200000,"-",17323,1609,"25-SEP-2020","Condominium","Freehold","2014","Resale","HDB","05","11","118862","Central Region","Queenstown","Singapore","Singapore"
"101","BLOSSOM RESIDENCES","30 Segar Road  #13-10",1,90,"Strata",888000,"-",9867,917,"25-SEP-2020","Executive Condominium","99 Yrs From 02/03/2011","2014","Resale","HDB","23","67","677721","West Region","Bukit Panjang","Singapore","Singapore"
"102","N.A.","19 Shelford Road  #02-05",1,85,"Strata",1460000,"-",17176,1596,"25-SEP-2020","Condominium","Freehold","1997","Resale","Private","11","28","288408","Central Region","Bukit Timah","Singapore","Singapore"
"103","MELVILLE PARK","24 Simei Street 1  #03-15",1,89,"Strata",685000,"-",7697,715,"25-SEP-2020","Condominium","99 Yrs From 01/09/1992","1996","Resale","Private","18","52","529946","East Region","Tampines","Singapore","Singapore"
"104","PARC CANBERRA","15 Canberra Walk  #01-31",1,88,"Strata",1044000,"-",11864,1102,"25-SEP-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","N.A","27","75","756948","North Region","Sembawang","Singapore","Singapore"
"105","TREASURE AT TAMPINES","11 Tampines Lane  #11-45",1,55,"Strata",889000,"-",16164,1502,"25-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528480","East Region","Tampines","Singapore","Singapore"
"106","TREASURE AT TAMPINES","23 Tampines Lane  #10-79",1,123,"Strata",1878000,"-",15268,1418,"25-SEP-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528474","East Region","Tampines","Singapore","Singapore"
"107","THE SANTORINI","21 Tampines Street 86  #09-07",1,49,"Strata",592000,"-",12082,1122,"25-SEP-2020","Condominium","99 Yrs From 16/10/2013","2017","Resale","Private","18","52","528592","East Region","Tampines","Singapore","Singapore"
"108","8@WOODLEIGH","2 Woodleigh Close  #12-01",1,78,"Strata",1115000,"-",14295,1328,"25-SEP-2020","Condominium","99 Yrs From 22/09/2008","2012","Resale","HDB","13","35","357900","Central Region","Toa Payoh","Singapore","Singapore"
"109","BOTANIQUE AT BARTLEY","223 Upper Paya Lebar Road  #04-06",1,68,"Strata",1088000,"-",16000,1486,"25-SEP-2020","Condominium","99 Yrs From 14/04/2014","2019","Resale","HDB","19","53","533874","North East Region","Serangoon","Singapore","Singapore"
"110","MEADOWS @ PEIRCE","626 Upper Thomson Road  #05-04",1,208,"Strata",1830000,"-",8798,817,"25-SEP-2020","Condominium","Freehold","2012","Resale","Private","26","78","787130","North East Region","Ang Mo Kio","Singapore","Singapore"
"111","JADESCAPE","8 Shunfu Road  #14-31",1,71,"Strata",1329100,"-",18720,1739,"25-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575745","Central Region","Bishan","Singapore","Singapore"
"112","THE TRE VER","64 Potong Pasir Avenue 1  #14-21",1,46,"Strata",853000,"-",18543,1723,"25-SEP-2020","Condominium","99 Yrs From 27/03/2018","Uncompleted","New Sale","N.A","13","35","358393","Central Region","Toa Payoh","Singapore","Singapore"
