,Unnamed: 0,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,unit_price,full_address,gcode,lat,long
19,20,2020-01,ANG MO KIO,3 ROOM,126,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1978,57 years 09 months,250000.0,3731.34328358209,126 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
20,21,2020-01,ANG MO KIO,3 ROOM,587,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1979,58 years 05 months,265000.0,3955.22388059702,587 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
21,22,2020-01,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,10 TO 12,67.0,New Generation,1978,57 years 09 months,300000.0,4477.6119402985105,121 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
22,23,2020-01,ANG MO KIO,3 ROOM,345,ANG MO KIO AVE 3,04 TO 06,73.0,New Generation,1978,57 years 03 months,320000.0,4383.56164383562,345 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 563455, Singapore",1.3690601,103.8578081
23,24,2020-01,ANG MO KIO,3 ROOM,212,ANG MO KIO AVE 3,10 TO 12,67.0,New Generation,1977,56 years 03 months,255000.0,3805.9701492537297,212 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
24,25,2020-01,ANG MO KIO,3 ROOM,301,ANG MO KIO AVE 3,04 TO 06,88.0,New Generation,1978,57 years 02 months,355000.0,4034.09090909091,301 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
25,26,2020-01,ANG MO KIO,3 ROOM,120,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1978,57 years 09 months,270000.0,4029.8507462686603,120 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
26,27,2020-01,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1978,57 years 09 months,283000.0,4223.88059701493,121 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
27,28,2020-01,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1978,57 years 09 months,245000.0,3656.7164179104498,121 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
28,29,2020-01,ANG MO KIO,3 ROOM,256,ANG MO KIO AVE 4,01 TO 03,73.0,New Generation,1977,56 years 07 months,255000.0,3493.15068493151,256 ANG MO KIO AVE 4 Singapore,"Ang Mo Kio Avenue 4, Ang Mo Kio, Singapore, Central, 568991, Singapore",1.3704366,103.8366841
29,30,2020-01,ANG MO KIO,3 ROOM,644,ANG MO KIO AVE 4,07 TO 09,75.0,New Generation,1980,59 years 10 months,308000.0,4106.666666666671,644 ANG MO KIO AVE 4 Singapore,"Ang Mo Kio Avenue 4, Ang Mo Kio, Singapore, Central, 568991, Singapore",1.3704366,103.8366841
30,31,2020-01,ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,04 TO 06,82.0,New Generation,1981,60 years 04 months,302500.0,3689.0243902439,178 ANG MO KIO AVE 4 Singapore,"178, Ang Mo Kio Avenue 4, Ang Mo Kio, Singapore, Central, 569898, Singapore",1.3763809,103.83682141001981
31,32,2020-01,ANG MO KIO,3 ROOM,629,ANG MO KIO AVE 4,01 TO 03,68.0,New Generation,1981,60 years 09 months,250000.0,3676.47058823529,629 ANG MO KIO AVE 4 Singapore,"Ang Mo Kio Avenue 4, Yio Chu Kang View, Ang Mo Kio, Singapore, Central, 560629, Singapore",1.3790394,103.8400398
32,33,2020-01,ANG MO KIO,3 ROOM,155,ANG MO KIO AVE 4,04 TO 06,82.0,New Generation,1981,60 years 04 months,362000.0,4414.63414634146,155 ANG MO KIO AVE 4 Singapore,"155, Ang Mo Kio Avenue 4, Ang Mo Kio, Singapore, Central, 560616, Singapore",1.37586315,103.84009975237961
33,34,2020-01,ANG MO KIO,3 ROOM,502,ANG MO KIO AVE 5,04 TO 06,82.0,New Generation,1981,60 years 01 month,340000.0,4146.341463414629,502 ANG MO KIO AVE 5 Singapore,"502, Ang Mo Kio Avenue 5, Ang Mo Kio, Singapore, Central, 567746, Singapore",1.37571635,103.84993712938868
34,35,2020-01,ANG MO KIO,3 ROOM,154,ANG MO KIO AVE 5,07 TO 09,68.0,New Generation,1981,60 years 01 month,278000.0,4088.23529411765,154 ANG MO KIO AVE 5 Singapore,"154, Ang Mo Kio Avenue 5, Ang Mo Kio, Singapore, Central, 569868, Singapore",1.3762767,103.84123954963235
35,36,2020-01,ANG MO KIO,3 ROOM,601,ANG MO KIO AVE 5,07 TO 09,67.0,New Generation,1980,59 years 06 months,280000.0,4179.10447761194,601 ANG MO KIO AVE 5 Singapore,"601, Ang Mo Kio Avenue 5, Ang Mo Kio, Singapore, Central, 569948, Singapore",1.3810333,103.8351336785349
36,37,2020-01,ANG MO KIO,3 ROOM,535,ANG MO KIO AVE 5,07 TO 09,67.0,New Generation,1980,59 years 01 month,246100.0,3673.1343283582105,535 ANG MO KIO AVE 5 Singapore,"Ang Mo Kio Avenue 5, Serangoon, Singapore, Central, 569869, Singapore",1.3768122,103.859689
37,38,2020-01,ANG MO KIO,3 ROOM,181,ANG MO KIO AVE 5,07 TO 09,68.0,New Generation,1981,60 years 03 months,245000.0,3602.9411764705897,181 ANG MO KIO AVE 5 Singapore,"Ang Mo Kio Avenue 5, Serangoon, Singapore, Central, 569869, Singapore",1.3768122,103.859689
38,39,2020-01,ANG MO KIO,3 ROOM,535,ANG MO KIO AVE 5,07 TO 09,67.0,New Generation,1980,59 years 01 month,318000.0,4746.26865671642,535 ANG MO KIO AVE 5 Singapore,"Ang Mo Kio Avenue 5, Serangoon, Singapore, Central, 569869, Singapore",1.3768122,103.859689
39,40,2020-01,ANG MO KIO,3 ROOM,533,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,59 years 01 month,223000.0,3328.3582089552197,533 ANG MO KIO AVE 5 Singapore,"Ang Mo Kio Avenue 5, Serangoon, Singapore, Central, 569869, Singapore",1.3768122,103.859689
40,41,2020-01,ANG MO KIO,3 ROOM,124,ANG MO KIO AVE 6,04 TO 06,67.0,New Generation,1979,58 years,260000.0,3880.5970149253703,124 ANG MO KIO AVE 6 Singapore,"Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 560716, Singapore",1.3702757,103.845596
41,42,2020-01,ANG MO KIO,3 ROOM,728,ANG MO KIO AVE 6,01 TO 03,82.0,New Generation,1980,59 years 09 months,305000.0,3719.5121951219503,728 ANG MO KIO AVE 6 Singapore,"728, Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 560728, Singapore",1.3726394499999999,103.84568315
42,43,2020-01,ANG MO KIO,3 ROOM,650,ANG MO KIO ST 61,19 TO 21,67.0,Model A,2015,94 years 11 months,458888.0,6849.07462686567,650 ANG MO KIO ST 61 Singapore,"Ang Mo Kio Street 61, Ang Mo Kio, Singapore, Central, 569163, Singapore",1.3810562,103.8411354
43,44,2020-01,ANG MO KIO,3 ROOM,650,ANG MO KIO ST 61,10 TO 12,67.0,Model A,2015,94 years 11 months,423000.0,6313.4328358208995,650 ANG MO KIO ST 61 Singapore,"Ang Mo Kio Street 61, Ang Mo Kio, Singapore, Central, 569163, Singapore",1.3810562,103.8411354
44,45,2020-01,ANG MO KIO,4 ROOM,207,ANG MO KIO AVE 1,04 TO 06,98.0,New Generation,1976,55 years 07 months,370000.0,3775.5102040816296,207 ANG MO KIO AVE 1 Singapore,"Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560218, Singapore",1.3649414,103.8402957
45,46,2020-01,ANG MO KIO,4 ROOM,307A,ANG MO KIO AVE 1,16 TO 18,97.0,Model A,2012,91 years 08 months,715000.0,7371.13402061856,307A ANG MO KIO AVE 1 Singapore,"307A, Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560218, Singapore",1.36605405,103.84445822065882
46,47,2020-01,ANG MO KIO,4 ROOM,310B,ANG MO KIO AVE 1,13 TO 15,94.0,Model A,2012,91 years 08 months,660000.0,7021.27659574468,310B ANG MO KIO AVE 1 Singapore,"310B, Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560218, Singapore",1.36477835,103.84422109983103
47,48,2020-01,ANG MO KIO,4 ROOM,575,ANG MO KIO AVE 10,01 TO 03,91.0,New Generation,1980,59 years 01 month,360000.0,3956.04395604396,575 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
48,49,2020-01,ANG MO KIO,4 ROOM,414,ANG MO KIO AVE 10,10 TO 12,92.0,New Generation,1979,58 years 08 months,383000.0,4163.04347826087,414 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
