left,top,right,bottom,id
104.0056945344900043,1.3320660897019900,104.0256945344900004,1.3120660897019900,"328"
103.6856945344899970,1.2720660897019900,103.7056945344899930,1.2520660897019900,"75"
104.0056945344900043,1.3120660897019900,104.0256945344900004,1.2920660897019900,"329"
103.6856945344899970,1.3320660897019900,103.7056945344899930,1.3120660897019900,"72"
104.0056945344900043,1.3720660897019898,104.0256945344900004,1.3520660897019898,"326"
103.6856945344899970,1.3120660897019900,103.7056945344899930,1.2920660897019900,"73"
104.0056945344900043,1.3520660897019900,104.0256945344900004,1.3320660897019900,"327"
103.6856945344899970,1.3720660897019898,103.7056945344899930,1.3520660897019898,"70"
103.6856945344899970,1.3520660897019900,103.7056945344899930,1.3320660897019900,"71"
104.0056945344900043,1.4120660897019899,104.0256945344900004,1.3920660897019899,"324"
103.6856945344899970,1.4120660897019899,103.7056945344899930,1.3920660897019899,"68"
104.0056945344900043,1.3920660897019899,104.0256945344900004,1.3720660897019898,"325"
103.6856945344899970,1.3920660897019899,103.7056945344899930,1.3720660897019898,"69"
103.6856945344899970,1.4520660897019899,103.7056945344899930,1.4320660897019899,"66"
104.0056945344900043,1.4320660897019899,104.0256945344900004,1.4120660897019899,"323"
103.6856945344899970,1.4320660897019899,103.7056945344899930,1.4120660897019899,"67"
103.7056945344899930,1.2120660897019899,103.7256945344899890,1.1920660897019899,"94"
103.7056945344899930,1.1920660897019899,103.7256945344899890,1.1720660897019899,"95"
103.7056945344899930,1.2320660897019899,103.7256945344899890,1.2120660897019899,"93"
103.7056945344899930,1.2920660897019900,103.7256945344899890,1.2720660897019900,"90"
104.0256945344900004,1.3320660897019900,104.0456945344899964,1.3120660897019900,"344"
103.7056945344899930,1.2720660897019900,103.7256945344899890,1.2520660897019900,"91"
103.7056945344899930,1.3320660897019900,103.7256945344899890,1.3120660897019900,"88"
103.7056945344899930,1.3120660897019900,103.7256945344899890,1.2920660897019900,"89"
104.0256945344900004,1.3720660897019898,104.0456945344899964,1.3520660897019898,"342"
103.7056945344899930,1.3720660897019898,103.7256945344899890,1.3520660897019898,"86"
104.0256945344900004,1.3520660897019900,104.0456945344899964,1.3320660897019900,"343"
103.7056945344899930,1.3520660897019900,103.7256945344899890,1.3320660897019900,"87"
104.0256945344900004,1.4120660897019899,104.0456945344899964,1.3920660897019899,"340"
103.7056945344899930,1.4120660897019899,103.7256945344899890,1.3920660897019899,"84"
104.0256945344900004,1.3920660897019899,104.0456945344899964,1.3720660897019898,"341"
103.7056945344899930,1.3920660897019899,103.7256945344899890,1.3720660897019898,"85"
103.7056945344899930,1.4520660897019899,103.7256945344899890,1.4320660897019899,"82"
104.0256945344900004,1.4320660897019899,104.0456945344899964,1.4120660897019899,"339"
103.7056945344899930,1.4320660897019899,103.7256945344899890,1.4120660897019899,"83"
103.7256945344900032,1.2120660897019899,103.7456945344899992,1.1920660897019899,"110"
103.7256945344900032,1.1920660897019899,103.7456945344899992,1.1720660897019899,"111"
103.7256945344900032,1.2520660897019900,103.7456945344899992,1.2320660897019899,"108"
103.7256945344900032,1.2320660897019899,103.7456945344899992,1.2120660897019899,"109"
103.7256945344900032,1.2920660897019900,103.7456945344899992,1.2720660897019900,"106"
103.7256945344900032,1.2720660897019900,103.7456945344899992,1.2520660897019900,"107"
103.7256945344900032,1.3320660897019900,103.7456945344899992,1.3120660897019900,"104"
103.7256945344900032,1.3120660897019900,103.7456945344899992,1.2920660897019900,"105"
103.7256945344900032,1.3720660897019898,103.7456945344899992,1.3520660897019898,"102"
103.7256945344900032,1.3520660897019900,103.7456945344899992,1.3320660897019900,"103"
104.0456945344899964,1.4120660897019899,104.0656945344899924,1.3920660897019899,"356"
103.7256945344900032,1.4120660897019899,103.7456945344899992,1.3920660897019899,"100"
104.0456945344899964,1.3920660897019899,104.0656945344899924,1.3720660897019898,"357"
103.7256945344900032,1.3920660897019899,103.7456945344899992,1.3720660897019898,"101"
104.0456945344899964,1.4520660897019899,104.0656945344899924,1.4320660897019899,"354"
103.7256945344900032,1.4520660897019899,103.7456945344899992,1.4320660897019899,"98"
104.0456945344899964,1.4320660897019899,104.0656945344899924,1.4120660897019899,"355"
103.7256945344900032,1.4320660897019899,103.7456945344899992,1.4120660897019899,"99"
103.7456945344899992,1.2120660897019899,103.7656945344899952,1.1920660897019899,"126"
103.7456945344899992,1.2520660897019900,103.7656945344899952,1.2320660897019899,"124"
103.7456945344899992,1.2320660897019899,103.7656945344899952,1.2120660897019899,"125"
103.7456945344899992,1.2920660897019900,103.7656945344899952,1.2720660897019900,"122"
103.7456945344899992,1.2720660897019900,103.7656945344899952,1.2520660897019900,"123"
103.7456945344899992,1.3320660897019900,103.7656945344899952,1.3120660897019900,"120"
103.7456945344899992,1.3120660897019900,103.7656945344899952,1.2920660897019900,"121"
103.7456945344899992,1.3720660897019898,103.7656945344899952,1.3520660897019898,"118"
103.7456945344899992,1.3520660897019900,103.7656945344899952,1.3320660897019900,"119"
104.0656945344899924,1.4120660897019899,104.0856945344899884,1.3920660897019899,"372"
103.7456945344899992,1.4120660897019899,103.7656945344899952,1.3920660897019899,"116"
104.0656945344899924,1.3920660897019899,104.0856945344899884,1.3720660897019898,"373"
103.7456945344899992,1.3920660897019899,103.7656945344899952,1.3720660897019898,"117"
103.7456945344899992,1.4520660897019899,103.7656945344899952,1.4320660897019899,"114"
104.0656945344899924,1.4320660897019899,104.0856945344899884,1.4120660897019899,"371"
103.7456945344899992,1.4320660897019899,103.7656945344899952,1.4120660897019899,"115"
